"county_geoid","place_geoid","tract_geoid","county","place","tract","county_pop","place_pop","tract_pop","overlap_percent"
6013,660620,6013370000,"Contra Costa","Richmond","Census Tract 3700, Contra Costa County, California",1142251,109884,2850,0.970794494040019
6013,621061,6013370000,"Contra Costa","East Richmond Heights CDP","Census Tract 3700, Contra Costa County, California",1142251,3162,2850,0.0292055059599811
6001,626000,6001442301,"Alameda","Fremont","Census Tract 4423.01, Alameda County, California",1656754,235740,5496,1
6037,603666,6037405101,"Los Angeles","Baldwin Park","Census Tract 4051.01, Los Angeles County, California",10081570,75892,5617,1
6037,644000,6037199800,"Los Angeles","Los Angeles","Census Tract 1998, Los Angeles County, California",10081570,3966936,5828,1
6037,644000,6037291300,"Los Angeles","Los Angeles","Census Tract 2913, Los Angeles County, California",10081570,3966936,3037,1
6037,644000,6037292000,"Los Angeles","Los Angeles","Census Tract 2920, Los Angeles County, California",10081570,3966936,6567,1
6037,640886,6037604002,"Los Angeles","Lawndale","Census Tract 6040.02, Los Angeles County, California",10081570,32819,4856,1
6037,669088,6037920035,"Los Angeles","Santa Clarita","Census Tract 9200.35, Los Angeles County, California",10081570,213411,6895,1
6029,603526,6029002804,"Kern","Bakersfield","Census Tract 28.04, Kern County, California",887641,377917,2510,1
6107,682954,6107001800,"Tulare","Visalia","Census Tract 18, Tulare County, California",461898,132104,4608,1
6037,658072,6037402101,"Los Angeles","Pomona","Census Tract 4021.01, Los Angeles County, California",10081570,152209,5558,1
6037,615044,6037542602,"Los Angeles","Compton","Census Tract 5426.02, Los Angeles County, California",10081570,96803,5934,1
6075,667000,6075020900,"San Francisco","San Francisco","Census Tract 209, San Francisco County, California",874961,874961,4597,1
6075,667000,6075021000,"San Francisco","San Francisco","Census Tract 210, San Francisco County, California",874961,874961,4523,1
6013,653070,6013302005,"Contra Costa","Oakley","Census Tract 3020.05, Contra Costa County, California",1142251,41324,7290,1
6045,681134,6045011300,"Mendocino","Ukiah","Census Tract 113, Mendocino County, California",87224,15943,5673,1
6045,609990,6045010900,"Mendocino","Calpella CDP","Census Tract 109, Mendocino County, California",87224,682,4989,1
6045,616728,6045010100,"Mendocino","Covelo CDP","Census Tract 101, Mendocino County, California",87224,1140,2674,1
6067,664000,6067007104,"Sacramento","Sacramento","Census Tract 71.04, Sacramento County, California",1524553,500930,8397,1
6085,668000,6085512042,"Santa Clara","San Jose","Census Tract 5120.42, Santa Clara County, California",1927470,1027690,3020,1
6085,668000,6085503306,"Santa Clara","San Jose","Census Tract 5033.06, Santa Clara County, California",1927470,1027690,4373,1
6111,665042,6111001503,"Ventura","San Buenaventura (Ventura)","Census Tract 15.03, Ventura County, California",847263,109910,5106,1
6099,680812,6099003605,"Stanislaus","Turlock","Census Tract 36.05, Stanislaus County, California",543194,72904,8068,1
6071,660466,6071003603,"San Bernardino","Rialto","Census Tract 36.03, San Bernardino County, California",2149031,103045,3938,1
6037,673430,6037503103,"Los Angeles","South Whittier CDP","Census Tract 5031.03, Los Angeles County, California",10081570,60357,5204,1
6113,618100,6113010606,"Yolo","Davis","Census Tract 106.06, Yolo County, California",217352,68543,7745,1
6053,670742,6053013600,"Monterey","Seaside","Census Tract 136, Monterey County, California",433410,33956,4679,1
6065,600464,6065044402,"Riverside","Aguanga CDP","Census Tract 444.02, Riverside County, California",2411439,805,5266,0.127138491244344
6065,602294,6065044402,"Riverside","Anza CDP","Census Tract 444.02, Riverside County, California",2411439,3076,5266,0.656048053895062
6065,639715,6065044402,"Riverside","Lake Riverside CDP","Census Tract 444.02, Riverside County, California",2411439,1354,5266,0.216813454860594
6071,613210,6071001901,"San Bernardino","Chino","Census Tract 19.01, San Bernardino County, California",2149031,89631,4664,1
6073,666000,6073008330,"San Diego","San Diego","Census Tract 83.30, San Diego County, California",3316073,1409573,5271,1
6031,641166,6031000300,"Kings","Lemoore Station CDP","Census Tract 3, Kings County, California",150691,6858,6858,1
6053,654848,6053012100,"Monterey","Pacific Grove","Census Tract 121, Monterey County, California",433410,15522,2113,1
6037,644000,6037209510,"Los Angeles","Los Angeles","Census Tract 2095.10, Los Angeles County, California",10081570,3966936,3076,1
6095,681666,6095250501,"Solano","Vallejo","Census Tract 2505.01, Solano County, California",441829,121267,2189,1
6059,669000,6059074108,"Orange","Santa Ana","Census Tract 741.08, Orange County, California",3168044,332794,4939,1
6065,646842,6065042714,"Riverside","Menifee","Census Tract 427.14, Riverside County, California",2411439,90349,3519,0.000694842759407634
6065,610928,6065042714,"Riverside","Canyon Lake","Census Tract 427.14, Riverside County, California",2411439,11170,3519,0.999305157240592
6037,644000,6037267501,"Los Angeles","Los Angeles","Census Tract 2675.01, Los Angeles County, California",10081570,3966936,5993,1
6037,644000,6037294520,"Los Angeles","Los Angeles","Census Tract 2945.20, Los Angeles County, California",10081570,3966936,3710,1
6059,653980,6059076202,"Orange","Orange","Census Tract 762.02, Orange County, California",3168044,139887,6159,0.802439651726326
6059,602000,6059076202,"Orange","Anaheim","Census Tract 762.02, Orange County, California",3168044,349964,6159,0.197560348273674
6079,644182,6079010701,"San Luis Obispo","Los Osos CDP","Census Tract 107.01, San Luis Obispo County, California",282165,16533,5437,1
