bg2020gj,bg2020ge,tr2010gj,tr2010ge,wt_pop,wt_adult,wt_hh,wt_hu,parea
G06000104001001,060014001001,G0600010400100,06001400100,0.98938216809,0.991273343808,0.991334460993,0.991949146756,0.990509202092
G06000104001001,060014001001,G0600130354001,06013354001,1.92826e-7,2.01604e-7,2.25992e-7,2.26773e-7,0.002784931774
G06000104001001,060014001001,G0600010422600,06001422600,0,0,0,0,0.001764481462
G06000104001001,060014001001,G0600010421600,06001421600,0,0,0,0,0.001241620499
G06000104001001,060014001001,G0600010422700,06001422700,0.004704841261,0.004099169326,0.004335659864,0.004025969873,2.678791e-4
G06000104001001,060014001001,G0600010423700,06001423700,0.005863141204,0.004575802493,0.00427651234,0.003971047173,0.003423867871
G06000104001001,060014001001,G0600010423800,06001423800,4.9656619e-5,5.148277e-5,5.3140811e-5,5.3609425e-5,8.017201e-6
G06000104001002,060014001002,G0600010400100,06001400100,0.99999333726,0.999994511061,0.999996960272,0.999997149322,0.998097987575
G06000104001002,060014001002,G0600130354001,06013354001,6.66274e-6,5.488939e-6,3.039728e-6,2.850678e-6,0.001717439418
G06000104001002,060014001002,G0600130353001,06013353001,0,0,0,0,1.84573007e-4
G06000104002001,060014002001,G0600010400200,06001400200,0.99674285486,0.997866463316,0.998006460454,0.998024655687,0.99761863436
G06000104002001,060014002001,G0600010423800,06001423800,0.00325714514,0.002133536684,0.001993539546,0.001975344313,0.00238136564
G06000104002002,060014002002,G0600010400200,06001400200,1,1,1,1,1
G06000104003001,060014003001,G0600010400300,06001400300,1,1,1,1,1
G06000104003002,060014003002,G0600010400300,06001400300,1,1,1,1,1
G06000104003003,060014003003,G0600010400300,06001400300,0.986330935252,0.986440677966,0.990445859873,0.991124260355,0.983230456825
G06000104003003,060014003003,G0600010401100,06001401100,0.013669064748,0.013559322034,0.009554140127,0.008875739645,0.016769543175
G06000104003004,060014003004,G0600010400300,06001400300,1,1,1,1,1
G06000104004001,060014004001,G0600010400400,06001400400,0.966699935171,0.96745044118,0.969148475636,0.969687106499,0.970455123506
G06000104004001,060014004001,G0600010423902,06001423902,0.033300064829,0.03254955882,0.030851524364,0.030312893501,0.029544876494
G06000104004002,060014004002,G0600010400400,06001400400,1,1,1,1,1
G06000104004003,060014004003,G0600010400400,06001400400,0.967107539915,0.968874171602,0.980079882152,0.980596728193,0.974877545439
G06000104004003,060014004003,G0600010423902,06001423902,0.032892460085,0.031125828398,0.019920117848,0.019403271807,0.025122454561
G06000104005001,060014005001,G0600010400500,06001400500,0.988163993464,0.990704393388,0.995663569138,0.992289171878,0.993295177601
G06000104005001,060014005001,G0600010423901,06001423901,0.011836006536,0.009295606612,0.004336430862,0.007710828122,0.006704822399
G06000104005002,060014005002,G0600010400500,06001400500,1,1,1,1,1
G06000104005003,060014005003,G0600010400500,06001400500,0.991245997445,0.991374002377,0.993151883187,0.992988498109,0.986870567471
G06000104005003,060014005003,G0600010423901,06001423901,0.008754002555,0.008625997623,0.006848116813,0.007011501891,0.013129432529
G06000104006001,060014006001,G0600010400600,06001400600,1,1,1,1,1
G06000104006002,060014006002,G0600010400600,06001400600,1,1,1,1,1
G06000104007001,060014007001,G0600010400700,06001400700,0.939138247712,0.938168898616,0.95136499324,0.943866405618,0.955872437358
G06000104007001,060014007001,G0600010424001,06001424001,0.060861752288,0.061831101384,0.04863500676,0.056133594382,0.044127562642
G06000104007002,060014007002,G0600010400700,06001400700,1,1,1,1,1
G06000104007003,060014007003,G0600010400700,06001400700,1,1,1,1,1
G06000104007004,060014007004,G0600010400700,06001400700,1,1,1,1,1
G06000104008001,060014008001,G0600010400800,06001400800,0.958666645807,0.960338375519,0.96511090166,0.963440691702,0.947505838719
G06000104008001,060014008001,G0600010424002,06001424002,0.037086741652,0.035296960606,0.03079486749,0.032375184578,0.040137801538
G06000104008001,060014008001,G0600010422000,06001422000,0,0,0,0,7.44873178e-4
G06000104008001,060014008001,G0600010425103,06001425103,0.00424661254,0.004364663876,0.00409423085,0.00418412372,0.004857193845
G06000104008001,060014008001,G0600010400700,06001400700,0,0,0,0,0.00675429272
G06000104008002,060014008002,G0600010400700,06001400700,0,0,0,0,0.039945053945
