geoid,location,county,year_implemented,policy_type,treated,repeal,repeal_date,nuisance
600296,adelanto,san bernardino,2017,cfmhp,1,T,2020,0
600394,agoura hills,los angeles,2003,nuisance_drug,0,F,NA,1
600562,alameda,alameda,2007,cfmhp,0.5,F,NA,0
600674,albany,alameda,2007,cfmhp,0.5,F,NA,0
600884,alhambra,los angeles,2003,nuisance_drug,0,F,NA,1
601640,american canyon,napa,2015,cfmhp,1,F,NA,0
602252,antioch,contra costa,1995,nuisance_arrest,0,F,NA,1
602364,apple valley,san bernardino,1995,cfmhp,1,F,NA,0
602462,arcadia,los angeles,2003,nuisance_drug,0,F,NA,1
602896,artesia,los angeles,2003,nuisance_drug,0,F,NA,1
603064,atascadero,san luis obispo,2005,cfmhp,1,T,2017,0
603274,avalon,los angeles,2003,nuisance_drug,0,F,NA,1
603386,azusa,los angeles,2003,nuisance_drug,0,F,NA,1
603526,bakersfield,kern,2004,cfmhp,1,F,NA,0
603666,baldwin park,los angeles,2009,cfmhp,1,F,NA,0
603820,banning,riverside,2006,nuisance_arrest,0,F,NA,1
604030,barstow,san bernardino,,cfmhp,1,F,NA,0
604870,bell,los angeles,1998,nuisance_arrest,0,F,NA,1
604982,bellflower,los angeles,2008,nuisance_drugs,0,F,NA,1
604996,bell gardens,los angeles,2003,nuisance_drug,0,F,NA,1
605290,benicia,solano,1998,nuisance,0,F,NA,1
606000,berkeley,alameda,2005,nuisance_drugs,0,F,NA,1
606308,beverly hills,los angeles,2003,nuisance_drug,0,F,NA,1
606434,big bear lake,san bernardino,,cfmhp,1,F,NA,0
607162,blue lake,humboldt,2018,nuisance_mild,0,F,NA,1
607946,bradbury,los angeles,2003,nuisance_drug,0,F,NA,1
608142,brentwood,contra costa,,cfmhp,1,F,NA,0
608968,burbank,los angeles,2003,nuisance_drug,0,F,NA,1
609598,calabasas,los angeles,2003,nuisance_drug,0,F,NA,1
610928,canyon lake,riverside,2020,cfmhp,1,F,NA,0
611194,carlsbad,san diego,2010,cfmhp,1,F,NA,0
611530,carson,los angeles,2003,nuisance_drug,0,F,NA,1
612048,cathedral city,riverside,2013,cfmhp,1,F,NA,0
612524,ceres,stanislaus,2020,nuisance_general,0,F,NA,1
612552,cerritos,los angeles,2003,nuisance_drug,0,F,NA,1
613210,chino,san bernardino,,cfmhp,1,F,NA,0
613214,chino hills,san bernardino,,cfmhp,1,F,NA,0
613392,chula vista,san diego,2016,cfmhp,1,F,NA,0
613588,citrus heights,sacramento,1998,nuisance_general,0,F,NA,1
613756,claremont,los angeles,2012,cfmhp,1,F,NA,0
613882,clayton,contra costa,,cfmhp,1,F,NA,0
614218,clovis,fresno,2014,nuisance_arrest,0,F,NA,1
