"type","weight","mean_est"
"Treated vs Untreated",0.029,4.894
"Both Treated",0,-1.204
"Treated vs Untreated",0.155,4.894
"Both Treated",0.001,-1.204
"Treated vs Untreated",0.106,4.894
"Both Treated",0.006,-1.204
"Both Treated",0.003,-1.204
"Both Treated",0.007,-1.204
"Both Treated",0.005,-1.204
"Both Treated",0.002,-1.204
"Treated vs Untreated",0.107,4.894
"Treated vs Untreated",0.181,4.894
"Treated vs Untreated",0.127,4.894
"Treated vs Untreated",0.162,4.894
"Treated vs Untreated",0.023,4.894
"Treated vs Untreated",0.026,4.894
