"type","weight","mean_est"
"Treated vs Untreated",0.029,-6.006
"Both Treated",0,-3.306
"Treated vs Untreated",0.155,-6.006
"Both Treated",0.001,-3.306
"Treated vs Untreated",0.106,-6.006
"Both Treated",0.006,-3.306
"Both Treated",0.003,-3.306
"Both Treated",0.007,-3.306
"Both Treated",0.005,-3.306
"Both Treated",0.002,-3.306
"Treated vs Untreated",0.107,-6.006
"Treated vs Untreated",0.181,-6.006
"Treated vs Untreated",0.127,-6.006
"Treated vs Untreated",0.162,-6.006
"Treated vs Untreated",0.023,-6.006
"Treated vs Untreated",0.026,-6.006
