"type","weight","mean_est"
"Treated vs Untreated",0.029,-4.453
"Both Treated",0,2.395
"Treated vs Untreated",0.155,-4.453
"Both Treated",0.001,2.395
"Treated vs Untreated",0.106,-4.453
"Both Treated",0.006,2.395
"Both Treated",0.003,2.395
"Both Treated",0.007,2.395
"Both Treated",0.005,2.395
"Both Treated",0.002,2.395
"Treated vs Untreated",0.107,-4.453
"Treated vs Untreated",0.181,-4.453
"Treated vs Untreated",0.127,-4.453
"Treated vs Untreated",0.162,-4.453
"Treated vs Untreated",0.023,-4.453
"Treated vs Untreated",0.026,-4.453
