"estimate","se","eventTime","model"
-14.4159669166591,35.4119405134038,-10,"twfe"
-14.2814538568592,38.0265194248513,-9,"twfe"
-0.723483942727655,34.4644462568245,-8,"twfe"
-3.78857563955412,15.705518704653,-7,"twfe"
4.89900137117075,14.507377052665,-6,"twfe"
2.00071180050232,9.08234862444889,-5,"twfe"
-5.02640951575205,8.93723197117833,-4,"twfe"
-7.99928545373921,11.861323065254,-3,"twfe"
3.25506141827347,7.90055995132152,-2,"twfe"
-10.3464646913595,7.56444253980113,0,"twfe"
6.90495779640558,8.70108445664642,1,"twfe"
7.74630454385396,9.56406996516524,2,"twfe"
5.48401349125066,9.30504867942243,3,"twfe"
-7.39260481277971,10.2383865256394,4,"twfe"
-14.502493210833,11.5329870652124,5,"twfe"
-23.2597066404214,12.6365880833528,6,"twfe"
-14.2889683292938,14.5924148603643,7,"twfe"
-3.47448082021497,17.7229410467006,8,"twfe"
-23.116873146815,28.8451690782929,9,"twfe"
-54.9775004538956,8.37886236493857,-10,"csa"
-69.6868891362102,22.1965745283954,-9,"csa"
-21.8169978259634,48.6693304408655,-8,"csa"
-3.20083523352455,16.1927624312239,-7,"csa"
4.29399960282254,14.3483508481712,-6,"csa"
5.59714275133562,9.60644808030955,-5,"csa"
-8.03103248799953,10.0144469496267,-4,"csa"
-9.72780891253726,14.4567028098866,-3,"csa"
3.47495728600184,9.12253185078415,-2,"csa"
-13.3790974812751,7.23384626247273,0,"csa"
3.15998090619698,7.87858280156582,1,"csa"
5.59513976580163,9.12836126623728,2,"csa"
2.02699589429697,9.22449299537391,3,"csa"
-11.6839069522493,11.396911979576,4,"csa"
-16.2716249141853,13.9815006817622,5,"csa"
-30.6940722695805,14.4574518105974,6,"csa"
-9.37524623516605,16.3222486749605,7,"csa"
-6.46669180351473,24.5945174692249,8,"csa"
-29.529618625337,37.0543751234312,9,"csa"
-58.7586562786735,10.8400813076855,-10,"sa"
-86.4901509800323,18.8420963778557,-9,"sa"
-35.6574127248472,18.8772118482745,-8,"sa"
-14.5734817144849,15.1187004853666,-7,"sa"
-2.62880533071964,11.3332893424569,-6,"sa"
1.66602814089296,7.64853548252055,-5,"sa"
-12.7624625408855,6.94882000632576,-4,"sa"
-12.5118777765703,5.30257068083543,-3,"sa"
2.0958770355442,3.67781912286549,-2,"sa"
-13.2679294640558,6.8531647880553,0,"sa"
5.09030958067807,6.52504586844733,1,"sa"
9.27297907065973,8.54530206006339,2,"sa"
5.72768903818282,8.25271186020011,3,"sa"
-7.80735685519418,7.11831441633145,4,"sa"
-13.878324083595,9.88882450146446,5,"sa"
-25.4542010212027,10.594987767553,6,"sa"
-8.1705114294135,11.1389896287664,7,"sa"
0.857750937705324,17.13146164418,8,"sa"
-26.2995141029583,30.2036770120927,9,"sa"
