"type","weight","mean_est"
"Treated vs Untreated",0.03,5.369
"Both Treated",0,-1.157
"Treated vs Untreated",0.156,5.369
"Both Treated",0.001,-1.157
"Treated vs Untreated",0.106,5.369
"Both Treated",0.005,-1.157
"Both Treated",0.003,-1.157
"Both Treated",0.006,-1.157
"Both Treated",0.002,-1.157
"Treated vs Untreated",0.107,5.369
"Treated vs Untreated",0.182,5.369
"Treated vs Untreated",0.127,5.369
"Treated vs Untreated",0.162,5.369
"Treated vs Untreated",0.023,5.369
"Treated vs Untreated",0.026,5.369
