"type","weight","mean_est"
"Treated vs Untreated",0.03,-5.213
"Both Treated",0,-3.358
"Treated vs Untreated",0.156,-5.213
"Both Treated",0.001,-3.358
"Treated vs Untreated",0.106,-5.213
"Both Treated",0.005,-3.358
"Both Treated",0.003,-3.358
"Both Treated",0.006,-3.358
"Both Treated",0.002,-3.358
"Treated vs Untreated",0.107,-5.213
"Treated vs Untreated",0.182,-5.213
"Treated vs Untreated",0.127,-5.213
"Treated vs Untreated",0.162,-5.213
"Treated vs Untreated",0.023,-5.213
"Treated vs Untreated",0.026,-5.213
