"type","weight","mean_est"
"Treated vs Untreated",0.03,-3.836
"Both Treated",0,2.369
"Treated vs Untreated",0.156,-3.836
"Both Treated",0.001,2.369
"Treated vs Untreated",0.106,-3.836
"Both Treated",0.005,2.369
"Both Treated",0.003,2.369
"Both Treated",0.006,2.369
"Both Treated",0.002,2.369
"Treated vs Untreated",0.107,-3.836
"Treated vs Untreated",0.182,-3.836
"Treated vs Untreated",0.127,-3.836
"Treated vs Untreated",0.162,-3.836
"Treated vs Untreated",0.023,-3.836
"Treated vs Untreated",0.026,-3.836
