"estimate","se","eventTime","model"
6.24139310084842,5.98843891776727,-10,"twfe"
9.00567159589116,6.86286341634704,-9,"twfe"
8.07629588928243,8.98898098325467,-8,"twfe"
14.3439591047403,8.68895262129377,-7,"twfe"
8.85013237115079,3.87869494989782,-6,"twfe"
14.4161099036353,6.25567745983956,-5,"twfe"
2.60787323253402,3.08598801314882,-4,"twfe"
5.79504403202318,3.37701480241531,-3,"twfe"
4.96733584249026,2.76787596844312,-2,"twfe"
-4.65101721960389,2.18412602158538,0,"twfe"
-1.02975953974739,2.65938382369403,1,"twfe"
-2.74606222146792,3.45506751697943,2,"twfe"
-4.2742112620662,4.03650018450406,3,"twfe"
-6.86027551407259,5.22203729035564,4,"twfe"
-3.42209510699253,5.39091780836411,5,"twfe"
-3.79552039140495,5.92529811296268,6,"twfe"
-2.37803097538266,4.83834841882164,7,"twfe"
-3.28630102528046,4.57564271205767,8,"twfe"
-5.47926207976837,4.7254581578079,9,"twfe"
20.1957722657349,23.4582900863273,-10,"csa"
25.0716374194974,15.2373240487469,-9,"csa"
19.4398642812284,13.0518541097565,-8,"csa"
23.1379324704082,11.6000320410712,-7,"csa"
13.0351931347731,4.29702330507009,-6,"csa"
18.7655413893922,6.4636775992608,-5,"csa"
1.71840329794914,4.0050839370405,-4,"csa"
5.13459823599083,3.99864221111723,-3,"csa"
4.29833638476711,3.19664343996792,-2,"csa"
0,NA,-1,"csa"
-3.74829881786128,2.17617441705866,0,"csa"
-1.08789475355164,2.48113072595394,1,"csa"
-3.66306362310501,3.30989499651613,2,"csa"
-6.59948551681821,4.03426668869826,3,"csa"
-9.04978401349359,5.59962816236826,4,"csa"
-4.488902053079,5.94893100986591,5,"csa"
-5.57176716762538,7.36771445236659,6,"csa"
0.546027883770772,5.45847236360973,7,"csa"
1.97886979081861,5.29474997973262,8,"csa"
-0.604479971457501,4.9632238195778,9,"csa"
20.1957722657399,18.7557477880399,-10,"sa"
25.0611961730955,13.6124666471953,-9,"sa"
19.5602087283242,11.4093857866547,-8,"sa"
23.2885300749411,9.39041439992719,-7,"sa"
13.1426441418043,3.80228706052727,-6,"sa"
18.9779351921105,5.68976847915545,-5,"sa"
1.89579363385244,3.59181245034348,-4,"sa"
5.11103134294965,3.34577847503082,-3,"sa"
4.29832846622137,2.80101197475631,-2,"sa"
-3.79977217036681,1.98072383949513,0,"sa"
-1.21354772578191,2.27581516264343,1,"sa"
-3.62756512451563,3.07629002704767,2,"sa"
-7.10712809141771,3.59927206582309,3,"sa"
-9.24352699971372,4.99126347996976,4,"sa"
-4.73789275873017,5.47978679340707,5,"sa"
-5.83830179377273,6.52270116428723,6,"sa"
0.365226494286582,5.22677381447822,7,"sa"
1.73420735147515,5.36939735680449,8,"sa"
-0.604479971458166,5.09412305959224,9,"sa"
