"outcome","q025","q05","q50","q95","q975","estimator","adjusted"
"Total crime count",-0.064,-0.056,-0.011,0.033,0.042,"Two-way Fixed Effects","Unadjusted"
"Total crime count",-0.07,-0.062,-0.016,0.029,0.037,"Sun & Abraham","Unadjusted"
"Total crime count",-0.074,-0.065,-0.019,0.027,0.036,"Callaway & Sant'Anna","Unadjusted"
"Assault count",-0.012,-0.005,0.033,0.071,0.078,"Two-way Fixed Effects","Unadjusted"
"Assault count",-0.018,-0.011,0.027,0.065,0.072,"Sun & Abraham","Unadjusted"
"Assault count",-0.014,-0.007,0.03,0.066,0.073,"Callaway & Sant'Anna","Unadjusted"
"Burglary count",-0.326,-0.297,-0.14,0.016,0.046,"Two-way Fixed Effects","Unadjusted"
"Burglary count",-0.267,-0.241,-0.109,0.024,0.049,"Sun & Abraham","Unadjusted"
"Burglary count",-0.287,-0.263,-0.14,-0.016,0.008,"Callaway & Sant'Anna","Unadjusted"
"Total crime count",-0.055,-0.047,-0.001,0.044,0.052,"Two-way Fixed Effects","Covariate adjusted"
"Total crime count",-0.061,-0.052,-0.008,0.036,0.044,"Sun & Abraham","Covariate adjusted"
"Total crime count",-0.073,-0.064,-0.019,0.026,0.034,"Callaway & Sant'Anna","Covariate adjusted"
"Assault count",-0.012,-0.004,0.035,0.074,0.081,"Two-way Fixed Effects","Covariate adjusted"
"Assault count",-0.018,-0.011,0.029,0.068,0.076,"Sun & Abraham","Covariate adjusted"
"Assault count",-0.013,-0.006,0.03,0.065,0.072,"Callaway & Sant'Anna","Covariate adjusted"
"Burglary count",-0.29,-0.263,-0.121,0.021,0.048,"Two-way Fixed Effects","Covariate adjusted"
"Burglary count",-0.24,-0.215,-0.082,0.05,0.076,"Sun & Abraham","Covariate adjusted"
"Burglary count",-0.281,-0.258,-0.14,-0.021,0.002,"Callaway & Sant'Anna","Covariate adjusted"
