"","0°","30°","60°","90°","120°","150°","180°","210°","240°","270°","300°","330°"
"One or more CFHP units"," 0.75* (0.06)"," 0.84* (0.06)"," 0.63* (0.05)"," 0.00 (0.04)"," 0.66* (0.06)"," 0.85* (0.06)"," 0.39* (0.04)"," 0.68* (0.06)"," 0.63* (0.06)"," 0.64* (0.06)"," 1.02* (0.07)"," 0.75* (0.06)"
"Rental Units (in hundreds)"," 0.21* (0.01)"," 0.20* (0.01)"," 0.14* (0.01)"," 0.23* (0.01)"," 0.19* (0.01)"," 0.09* (0.01)"," 0.21* (0.01)"," 0.23* (0.01)"," 0.16* (0.01)"," 0.14* (0.01)"," 0.17* (0.01)"," 0.21* (0.01)"
"Per Capita Income (in $10,000 dollars)","-0.10* (0.02)","-0.09* (0.02)"," 0.03 (0.02)"," 0.00 (0.02)","-0.10* (0.02)","-0.25* (0.04)","-0.05 (0.03)","-0.10* (0.03)","-0.10* (0.02)","-0.10* (0.02)","-0.08* (0.02)","-0.10* (0.02)"
"Asian (Pop %)"," 0.20 (0.33)"," 0.05 (0.31)","-2.49* (0.40)"," 0.00 (0.17)","-1.17* (0.44)"," 0.34 (0.32)","-0.93* (0.32)","-2.18* (0.44)","-0.43 (0.31)","-0.80* (0.28)","-0.02 (0.30)"," 0.20 (0.33)"
"White (Pop %)"," 4.94* (0.70)"," 4.38* (0.69)","-0.16 (0.71)"," 3.88* (0.50)"," 0.88 (0.50)"," 3.68* (0.52)","-0.03 (0.35)"," 1.01 (0.81)"," 3.39* (0.62)"," 5.13* (0.52)"," 4.58* (0.56)"," 4.94* (0.70)"
"Black (Pop %)"," 0.86* (0.29)"," 0.67* (0.27)","-1.62* (0.40)"," 2.05* (0.19)","-0.74* (0.36)"," 0.46 (0.25)"," 0.07 (0.24)","-1.53* (0.35)"," 0.21 (0.24)","-0.79* (0.24)"," 0.90* (0.29)"," 0.86* (0.29)"
"American Indian/Alaskan Native (Pop %)","29.28* (2.43)","31.15* (2.20)","16.83* (1.94)","30.61* (2.73)","22.66* (1.82)","29.81* (2.04)","26.86* (2.07)","30.13* (3.21)","29.68* (2.76)","31.04* (2.41)","25.04* (1.92)","29.28* (2.43)"
"Latin/Hispanic (Pop %)","-1.42* (0.42)","-1.69* (0.41)","-2.72* (0.45)","-2.22* (0.20)","-4.06* (0.41)","-1.04* (0.33)","-1.81* (0.30)","-5.70* (0.62)","-2.04* (0.40)","-2.45* (0.35)","-3.11* (0.38)","-1.42* (0.42)"
"Treated units","30","30","30","30","30","30","30","30","30","30","30","30"
"Total units","103","102","106","103","106","105","106","105","105","104","102","103"
"Adjusted R-squared","0.23","0.23","0.09","0.19","0.19","0.16","0.15","0.25","0.14","0.18","0.24","0.23"
