"","0°","30°","60°","90°","120°","150°","180°","210°","240°","270°","300°","330°"
"One or more CFHP units"," 0.94* (0.07)"," 0.95* (0.06)"," 1.18* (0.07)"," 1.22* (0.07)","  1.13* (0.07)","  1.13* (0.07)"," 1.10* (0.07)","  1.49* (0.10)"," 0.69* (0.07)"," 0.72* (0.08)"," 1.37* (0.08)"," 0.94* (0.07)"
"Rental Units (in hundreds)"," 0.66* (0.02)"," 0.65* (0.02)"," 0.65* (0.02)"," 0.56* (0.03)","  0.59* (0.03)","  0.60* (0.02)"," 0.62* (0.03)","  0.73* (0.02)"," 0.66* (0.03)"," 0.67* (0.03)"," 0.71* (0.02)"," 0.66* (0.02)"
"Per Capita Income (in $10,000 dollars)"," 0.19* (0.03)"," 0.25* (0.03)"," 0.15* (0.04)"," 0.07 (0.04)","  0.35* (0.08)","  0.35* (0.07)"," 0.41* (0.08)","  0.81* (0.06)"," 0.36* (0.07)"," 0.32* (0.06)"," 0.09 (0.05)"," 0.15* (0.03)"
"Asian (Pop %)","-4.76* (0.39)","-4.32* (0.43)","-3.71* (0.44)","-3.12* (0.53)"," -4.47* (0.61)"," -4.58* (0.62)","-3.93* (0.63)"," -4.62* (0.60)","-2.91* (0.61)","-4.59* (0.48)","-1.97* (0.52)","-4.09* (0.39)"
"White (Pop %)","-5.25* (0.62)","-4.51* (0.54)","-7.20* (0.61)","-3.19* (0.49)"," -5.95* (0.42)"," -6.11* (0.43)","-4.63* (0.39)"," -5.68* (0.40)","-8.80* (0.47)","-8.62* (0.56)","-5.05* (0.56)","-6.09* (0.61)"
"Black (Pop %)","-4.88* (0.39)","-4.43* (0.37)","-4.92* (0.44)","-3.86* (0.42)"," -5.22* (0.46)"," -5.24* (0.46)","-4.16* (0.43)"," -4.59* (0.43)","-5.50* (0.36)","-6.62* (0.41)","-4.37* (0.40)","-5.05* (0.38)"
"American Indian/Alaskan Native (Pop %)","17.04* (1.29)","17.15* (1.29)"," 6.52* (0.90)","-4.17* (0.93)","-11.06* (1.93)","-11.37* (1.91)","-7.31* (1.90)","-18.13* (3.03)"," 6.57* (1.96)"," 6.86* (1.97)"," 7.82* (1.28)","18.74* (1.05)"
"Latin/Hispanic (Pop %)","-5.30* (0.35)","-4.83* (0.32)","-5.14* (0.41)","-4.05* (0.41)"," -3.99* (0.41)"," -4.07* (0.41)","-3.90* (0.43)"," -4.20* (0.34)","-2.38* (0.28)","-3.75* (0.27)","-4.23* (0.39)","-5.80* (0.34)"
"Treated units","12","12","12","12","12","12","12","12","12","12","12","12"
"Total units","88","88","89","87","92","92","92","90","92","92","87","90"
"Adjusted R-squared","0.35","0.35","0.38","0.31","0.27","0.27","0.26","0.41","0.32","0.33","0.4","0.37"
