"","0°","30°","60°","90°","120°","150°","180°","210°","240°","270°","300°","330°"
"One or more CFHP units","-0.29* (0.12)","-0.17 (0.09)","-0.21* (0.09)"," 0.10 (0.13)"," 0.15 (0.13)"," 0.25* (0.12)"," 0.44* (0.08)"," 0.29* (0.11)"," 0.98* (0.15)"," 0.68* (0.17)"," 0.08 (0.14)"," 0.08 (0.15)"
"Rental Units (in hundreds)"," 0.97* (0.03)"," 0.94* (0.04)"," 0.95* (0.04)"," 0.90* (0.04)"," 0.86* (0.02)"," 0.78* (0.02)"," 0.65* (0.03)"," 0.67* (0.03)"," 0.67* (0.02)"," 0.73* (0.03)"," 0.80* (0.03)"," 0.82* (0.03)"
"Per Capita Income (in $10,000 dollars)"," 0.20* (0.02)"," 0.24* (0.02)"," 0.25* (0.02)"," 0.24* (0.02)"," 0.36* (0.02)"," 0.22* (0.03)"," 0.17* (0.02)"," 0.14* (0.02)"," 0.16* (0.04)"," 0.24* (0.03)"," 0.12* (0.02)"," 0.10* (0.02)"
"Asian (Pop %)"," 0.41 (0.56)","-5.46* (0.84)","-5.00* (0.87)","-3.27* (1.06)"," 1.71 (1.17)"," 1.75 (1.09)"," 4.59* (1.09)"," 6.34* (0.93)"," 5.73* (1.03)"," 5.70* (0.65)"," 2.02* (0.50)"," 1.44* (0.55)"
"White (Pop %)","-6.38* (0.35)","-8.91* (0.61)","-8.26* (0.66)","-8.34* (0.68)","-6.32* (0.75)","-4.56* (0.90)"," 0.76 (0.70)","-1.32 (0.85)","-2.67* (0.95)","-2.01* (0.75)","-2.51* (0.63)","-3.55* (0.71)"
"Black (Pop %)","-3.02* (0.22)","-3.21* (0.32)","-2.90* (0.33)","-3.39* (0.31)","-1.62* (0.31)","-2.85* (0.32)","-1.90* (0.29)","-1.62* (0.24)","-2.04* (0.31)","-2.32* (0.26)","-2.08* (0.19)","-2.35* (0.21)"
"American Indian/Alaskan Native (Pop %)"," 9.70* (1.91)"," 9.85* (2.07)"," 8.75* (2.12)"," 6.71* (2.04)"," 5.17* (1.77)"," 1.70 (1.71)","15.62* (1.80)","10.32* (1.78)"," 9.91* (2.11)"," 5.34* (2.00)"," 8.08* (2.34)"," 8.11* (2.37)"
"Latin/Hispanic (Pop %)"," 1.40* (0.33)","-0.56* (0.18)","-0.26 (0.19)"," 0.75* (0.24)"," 1.04* (0.22)"," 0.40 (0.24)"," 2.25* (0.20)"," 1.84* (0.24)"," 1.17* (0.35)"," 2.16* (0.27)"," 2.36* (0.28)"," 2.02* (0.28)"
"Treated units","70","70","70","70","70","70","70","70","70","70","70","70"
"Total units","178","177","175","179","185","185","183","182","181","181","182","182"
"Adjusted R-squared","0.42","0.39","0.39","0.38","0.35","0.3","0.3","0.29","0.3","0.34","0.36","0.36"
