"","0°","30°","60°","90°","120°","150°","180°","210°","240°","270°","300°","330°"
"One or more CFHP units"," 0.42* (0.15)"," 0.50* (0.17)"," 0.85* (0.26)"," 0.59* (0.21)"," 1.18* (0.38)"," 0.44* (0.17)"," 0.68* (0.22)"," 0.64* (0.17)"," 0.79* (0.22)"," 0.68* (0.15)"," 0.80* (0.10)"," 0.65* (0.22)"
"Rental Units (in hundreds)"," 0.41* (0.07)"," 0.48* (0.09)"," 0.39* (0.10)"," 0.39* (0.10)"," 0.38* (0.10)"," 0.40* (0.11)"," 0.50* (0.09)"," 0.39* (0.11)"," 0.36* (0.11)"," 0.34* (0.11)"," 0.30* (0.09)"," 0.44* (0.08)"
"Per Capita Income (in $10,000 dollars)"," 0.01 (0.03)"," 0.02 (0.03)"," 0.03 (0.05)"," 0.07 (0.05)"," 0.00 (0.03)"," 0.05 (0.04)"," 0.18* (0.04)"," 0.07 (0.04)"," 0.03 (0.03)","-0.04 (0.03)","-0.12* (0.03)"," 0.00 (0.02)"
"Asian (Pop %)"," 1.63* (0.37)"," 1.05* (0.29)"," 1.25* (0.60)"," 1.75* (0.67)"," 0.66 (0.60)"," 1.04 (0.95)"," 0.36 (0.70)"," 0.98 (0.84)","-0.18 (0.80)"," 0.25 (0.89)"," 1.65* (0.40)"," 0.30 (0.31)"
"White (Pop %)"," 3.23* (0.54)"," 2.88* (0.41)"," 4.53* (0.85)"," 5.27* (1.16)"," 1.61 (1.31)"," 2.58* (1.20)"," 2.75* (1.03)"," 3.87* (1.21)"," 1.47 (1.08)"," 2.13* (1.07)"," 2.17* (0.66)"," 0.95* (0.47)"
"Black (Pop %)","-0.18 (0.35)","-0.43* (0.21)","-0.39 (0.45)","-0.09 (0.48)","-1.11* (0.51)","-1.60* (0.59)","-0.80 (0.59)"," 0.11 (0.71)","-1.12 (0.62)","-0.87 (0.65)"," 0.27 (0.25)","-0.50 (0.30)"
"American Indian/Alaskan Native (Pop %)"," 0.72 (1.02)","-1.12 (0.77)","-2.50* (0.82)","-2.23* (0.67)","-4.08* (0.79)","-4.49* (0.94)","-0.96 (0.78)"," 1.61 (1.11)","-0.97 (0.74)","-1.18 (1.00)","-0.39 (0.84)"," 1.19 (1.16)"
"Latin/Hispanic (Pop %)"," 1.12* (0.18)"," 1.39* (0.18)"," 0.23 (0.25)"," 0.65* (0.32)"," 0.51 (0.43)","-0.33 (0.38)","-0.14 (0.39)"," 0.35 (0.39)"," 0.66 (0.45)"," 0.62 (0.49)"," 1.11* (0.23)"," 0.98* (0.19)"
"Treated units","76","76","76","76","76","76","76","76","76","76","76","76"
"Total units","1590","1582","1580","1579","1592","1616","1611","1612","1614","1593","1589","1596"
"Adjusted R-squared","0.18","0.22","0.18","0.18","0.17","0.18","0.23","0.18","0.17","0.15","0.15","0.19"
