"","0°","30°","60°","90°","120°","150°","180°","210°","240°","270°","300°","330°"
"Number of CFHP units"," 0.41* (0.03)"," 0.44* (0.03)"," 0.32* (0.03)"," 0.05* (0.01)"," 0.24* (0.02)"," 0.23* (0.03)"," 0.05* (0.02)"," 0.13* (0.04)"," 0.10* (0.03)"," 0.12* (0.03)"," 0.44* (0.03)"," 0.41* (0.03)"
"Rental Units (in hundreds)"," 0.20* (0.01)"," 0.20* (0.01)"," 0.15* (0.01)"," 0.23* (0.01)"," 0.21* (0.01)"," 0.13* (0.01)"," 0.23* (0.01)"," 0.26* (0.01)"," 0.19* (0.01)"," 0.18* (0.01)"," 0.18* (0.01)"," 0.20* (0.01)"
"Per Capita Income (in $10,000 dollars)","-0.07* (0.02)","-0.05* (0.02)"," 0.04* (0.02)"," 0.00 (0.02)","-0.08* (0.02)","-0.22* (0.03)","-0.04 (0.02)","-0.08* (0.02)","-0.09* (0.02)","-0.09* (0.02)","-0.05* (0.02)","-0.07* (0.02)"
"Asian (Pop %)"," 0.32 (0.29)"," 0.22 (0.28)","-2.02* (0.38)","-0.07 (0.17)","-0.96* (0.45)"," 1.11* (0.36)","-0.72* (0.33)","-1.54* (0.46)"," 0.26 (0.35)","-0.30 (0.31)"," 0.48 (0.28)"," 0.32 (0.29)"
"White (Pop %)"," 5.49* (0.73)"," 5.04* (0.71)"," 0.47 (0.72)"," 3.74* (0.46)"," 1.23* (0.56)"," 4.46* (0.61)"," 0.41 (0.39)"," 1.94* (0.88)"," 4.33* (0.70)"," 6.12* (0.60)"," 5.02* (0.59)"," 5.49* (0.73)"
"Black (Pop %)"," 1.17* (0.25)"," 1.14* (0.25)","-1.14* (0.37)"," 2.05* (0.18)","-0.55 (0.35)"," 1.11* (0.25)"," 0.00 (0.23)","-1.56* (0.34)"," 0.36 (0.24)","-0.83* (0.22)"," 1.36* (0.25)"," 1.17* (0.25)"
"American Indian/Alaskan Native (Pop %)","31.86* (2.89)","32.94* (2.87)","20.87* (2.17)","29.63* (2.49)","26.82* (2.13)","36.87* (2.84)","30.23* (2.47)","35.41* (3.67)","34.01* (3.19)","36.01* (2.77)","30.03* (2.71)","31.86* (2.89)"
"Latin/Hispanic (Pop %)","-0.83* (0.35)","-0.94* (0.35)","-1.97* (0.46)","-2.35* (0.19)","-3.51* (0.42)"," 0.28 (0.40)","-1.31* (0.33)","-4.26* (0.62)","-0.52 (0.43)","-1.16* (0.40)","-1.69* (0.37)","-0.83* (0.35)"
"Treated units","30","30","30","30","30","30","30","30","30","30","30","30"
"Total units","103","102","106","103","106","105","106","105","105","104","102","103"
"Adjusted R-squared","0.25","0.25","0.09","0.19","0.18","0.13","0.14","0.23","0.12","0.16","0.24","0.25"
