"","0°","30°","60°","90°","120°","150°","180°","210°","240°","270°","300°","330°"
"Number of CFHP units"," 0.83* (0.04)"," 0.84* (0.04)"," 0.74* (0.04)"," 0.88* (0.04)","  0.74* (0.05)","  0.74* (0.05)"," 0.68* (0.05)","  0.62* (0.05)"," 0.72* (0.03)"," 0.92* (0.04)"," 0.91* (0.05)"," 0.85* (0.04)"
"Rental Units (in hundreds)"," 0.54* (0.02)"," 0.54* (0.02)"," 0.59* (0.02)"," 0.50* (0.03)","  0.53* (0.03)","  0.53* (0.03)"," 0.57* (0.03)","  0.72* (0.02)"," 0.59* (0.02)"," 0.56* (0.02)"," 0.62* (0.02)"," 0.55* (0.02)"
"Per Capita Income (in $10,000 dollars)"," 0.08* (0.03)"," 0.14* (0.03)"," 0.08* (0.04)"," 0.02 (0.04)","  0.30* (0.08)","  0.31* (0.08)"," 0.37* (0.08)","  0.77* (0.07)"," 0.34* (0.07)"," 0.27* (0.06)"," 0.00 (0.05)"," 0.05 (0.03)"
"Asian (Pop %)","-3.85* (0.41)","-3.41* (0.45)","-3.14* (0.43)","-2.67* (0.56)"," -4.07* (0.63)"," -4.17* (0.63)","-3.48* (0.64)"," -4.15* (0.60)","-3.17* (0.58)","-4.39* (0.45)","-1.16* (0.56)","-3.12* (0.42)"
"White (Pop %)","-5.40* (0.60)","-4.69* (0.52)","-8.22* (0.60)","-4.07* (0.45)"," -6.85* (0.39)"," -7.00* (0.40)","-5.38* (0.38)"," -6.52* (0.41)","-9.36* (0.45)","-9.31* (0.53)","-5.43* (0.54)","-6.29* (0.59)"
"Black (Pop %)","-4.76* (0.42)","-4.38* (0.39)","-4.80* (0.45)","-3.90* (0.43)"," -5.20* (0.47)"," -5.23* (0.48)","-4.06* (0.45)"," -4.38* (0.45)","-5.97* (0.36)","-6.64* (0.44)","-4.12* (0.44)","-4.87* (0.42)"
"American Indian/Alaskan Native (Pop %)","14.44* (1.44)","14.56* (1.43)"," 5.61* (0.98)","-5.01* (0.92)","-12.04* (1.93)","-12.35* (1.90)","-7.86* (1.93)","-12.51* (2.85)"," 4.75* (1.92)"," 4.84* (1.90)"," 8.41* (1.33)","16.20* (1.18)"
"Latin/Hispanic (Pop %)","-4.67* (0.38)","-4.20* (0.34)","-5.03* (0.42)","-3.65* (0.43)"," -3.81* (0.42)"," -3.88* (0.42)","-3.69* (0.43)"," -4.09* (0.33)","-2.43* (0.28)","-3.56* (0.27)","-3.45* (0.42)","-5.10* (0.37)"
"Treated units","12","12","12","12","12","12","12","12","12","12","12","12"
"Total units","88","88","89","87","92","92","92","90","92","92","87","90"
"Adjusted R-squared","0.37","0.37","0.38","0.32","0.27","0.27","0.26","0.39","0.33","0.36","0.4","0.4"
