"","0°","30°","60°","90°","120°","150°","180°","210°","240°","270°","300°","330°"
"Number of CFHP units"," 0.00 (0.05)"," 0.11 (0.06)"," 0.13* (0.06)"," 0.21* (0.06)"," 0.02 (0.05)","-0.12 (0.07)"," 0.04 (0.04)","-0.09* (0.04)","-0.01 (0.05)","-0.04 (0.05)"," 0.01 (0.04)"," 0.11* (0.05)"
"Rental Units (in hundreds)"," 0.93* (0.03)"," 0.87* (0.05)"," 0.86* (0.04)"," 0.82* (0.04)"," 0.87* (0.03)"," 0.87* (0.03)"," 0.69* (0.03)"," 0.75* (0.03)"," 0.80* (0.03)"," 0.84* (0.03)"," 0.81* (0.03)"," 0.78* (0.03)"
"Per Capita Income (in $10,000 dollars)"," 0.20* (0.02)"," 0.25* (0.02)"," 0.26* (0.02)"," 0.23* (0.02)"," 0.35* (0.02)"," 0.19* (0.03)"," 0.16* (0.02)"," 0.14* (0.02)"," 0.20* (0.04)"," 0.24* (0.03)"," 0.12* (0.02)"," 0.11* (0.02)"
"Asian (Pop %)"," 0.44 (0.58)","-5.37* (0.85)","-4.87* (0.89)","-3.39* (1.05)"," 1.70 (1.16)"," 1.73 (1.06)"," 4.59* (1.06)"," 5.72* (1.03)"," 4.67* (1.16)"," 5.40* (0.75)"," 2.02* (0.50)"," 1.35* (0.55)"
"White (Pop %)","-6.45* (0.38)","-8.75* (0.55)","-7.98* (0.59)","-8.07* (0.56)","-6.24* (0.73)","-4.76* (0.95)"," 1.12 (0.74)","-1.39 (0.91)","-2.85* (1.09)","-1.62* (0.82)","-2.46* (0.63)","-3.51* (0.67)"
"Black (Pop %)","-3.08* (0.22)","-3.49* (0.36)","-3.25* (0.37)","-3.80* (0.33)","-1.60* (0.28)","-2.67* (0.33)","-1.86* (0.28)","-1.60* (0.24)","-2.28* (0.35)","-1.96* (0.23)","-2.08* (0.18)","-2.54* (0.21)"
"American Indian/Alaskan Native (Pop %)","10.00* (1.93)"," 9.65* (2.03)"," 8.45* (2.09)"," 6.46* (2.01)"," 5.32* (1.72)"," 1.98 (1.77)","15.00* (1.73)"," 9.54* (1.63)"," 8.33* (2.03)"," 3.99 (2.10)"," 7.96* (2.39)"," 8.00* (2.41)"
"Latin/Hispanic (Pop %)"," 1.42* (0.32)","-0.51* (0.17)","-0.17 (0.19)"," 0.69* (0.24)"," 1.01* (0.22)"," 0.19 (0.26)"," 2.21* (0.22)"," 1.71* (0.26)"," 1.04* (0.37)"," 2.27* (0.31)"," 2.36* (0.28)"," 2.02* (0.28)"
"Treated units","70","70","70","70","70","70","70","70","70","70","70","70"
"Total units","178","177","175","179","185","185","183","182","181","181","182","182"
"Adjusted R-squared","0.41","0.39","0.39","0.39","0.35","0.31","0.29","0.29","0.28","0.33","0.36","0.36"
