"","nobs","rsquared","rsquared_adj","model_name","angle","city_name"
"1",102,0.32779092222464,0.277732799411582,"cfho_any_adj","angle=0","fremont"
"2",101,0.328244843527478,0.277682627448902,"cfho_any_adj","angle=30","fremont"
"3",101,0.20107639226798,0.140942357277397,"cfho_any_adj","angle=60","fremont"
"4",103,0.236717356112693,0.180475477089418,"cfho_any_adj","angle=90","fremont"
"5",106,0.274878035873003,0.223083609863931,"cfho_any_adj","angle=120","fremont"
"6",105,0.249278350687831,0.195102561562211,"cfho_any_adj","angle=150","fremont"
"7",105,0.211649316301714,0.15475802984926,"cfho_any_adj","angle=180","fremont"
"8",104,0.335432483479253,0.286974435399616,"cfho_any_adj","angle=210","fremont"
"9",103,0.255021533199318,0.200128383014004,"cfho_any_adj","angle=240","fremont"
"10",102,0.290679458079257,0.237857715595797,"cfho_any_adj","angle=270","fremont"
"11",102,0.343609821234869,0.294729701539593,"cfho_any_adj","angle=300","fremont"
"12",102,0.32779092222464,0.277732799411582,"cfho_any_adj","angle=330","fremont"
"13",102,0.32779092222464,0.277732799411582,"cfho_any_adj","angle=360","fremont"
"14",87,0.354892556219514,0.339532855177122,"cfho_any_unadj","angle=0","hayward"
"15",87,0.40476261172206,0.390590292953538,"cfho_any_unadj","angle=30","hayward"
"16",87,0.374321593021016,0.359424488092945,"cfho_any_unadj","angle=60","hayward"
"17",87,0.381746244866854,0.367025917363684,"cfho_any_unadj","angle=90","hayward"
"18",91,0.291736250742827,0.275639347350619,"cfho_any_unadj","angle=120","hayward"
"19",91,0.291736250742827,0.275639347350619,"cfho_any_unadj","angle=150","hayward"
"20",91,0.357920685421417,0.343327973726449,"cfho_any_unadj","angle=180","hayward"
"21",88,0.366330118888556,0.351420239332993,"cfho_any_unadj","angle=210","hayward"
"22",90,0.278570839497337,0.261986261094977,"cfho_any_unadj","angle=240","hayward"
"23",90,0.295035275927072,0.2788291903162,"cfho_any_unadj","angle=270","hayward"
"24",89,0.33595662483441,0.320513755644513,"cfho_any_unadj","angle=300","hayward"
"25",89,0.3544196336326,0.339406136740335,"cfho_any_unadj","angle=330","hayward"
"26",87,0.354892556219514,0.339532855177122,"cfho_any_unadj","angle=360","hayward"
"27",175,0.438940827201331,0.4154233768445,"cfho_count_adj","angle=0","riverside"
"28",171,0.383611654962322,0.357140989838005,"cfho_count_adj","angle=30","riverside"
"29",171,0.419164423938936,0.394220564844289,"cfho_count_adj","angle=60","riverside"
"30",179,0.36577053060307,0.339807920744716,"cfho_count_adj","angle=90","riverside"
"31",183,0.391958600317818,0.367636944330531,"cfho_count_adj","angle=120","riverside"
"32",182,0.34715365978994,0.320889726563098,"cfho_count_adj","angle=150","riverside"
"33",182,0.308656219211735,0.280843538375426,"cfho_count_adj","angle=180","riverside"
"34",179,0.30349693139576,0.274985109873949,"cfho_count_adj","angle=210","riverside"
"35",177,0.340547644183554,0.313233049563938,"cfho_count_adj","angle=240","riverside"
"36",176,0.372278855501115,0.346123807813661,"cfho_count_adj","angle=270","riverside"
"37",178,0.398121470087914,0.373338236503299,"cfho_count_adj","angle=300","riverside"
"38",179,0.410471351133471,0.386338599425484,"cfho_count_adj","angle=330","riverside"
"39",175,0.438940827201331,0.4154233768445,"cfho_count_adj","angle=360","riverside"
"40",1544,0.190522357578605,0.189471770112776,"cfho_count_unadj","angle=0","san_diego_unincorporated"
"41",1537,0.212444623883844,0.21141782417574,"cfho_count_unadj","angle=30","san_diego_unincorporated"
"42",1531,0.170699865638468,0.169614394258414,"cfho_count_unadj","angle=60","san_diego_unincorporated"
"43",1543,0.173798717965399,0.172725729287432,"cfho_count_unadj","angle=90","san_diego_unincorporated"
"44",1561,0.189002512881072,0.18796143780133,"cfho_count_unadj","angle=120","san_diego_unincorporated"
"45",1561,0.175389946653183,0.174331397162366,"cfho_count_unadj","angle=150","san_diego_unincorporated"
"46",1565,0.226315523112663,0.225324889979644,"cfho_count_unadj","angle=180","san_diego_unincorporated"
"47",1568,0.185273855468255,0.184232671896968,"cfho_count_unadj","angle=210","san_diego_unincorporated"
"48",1570,0.180097878735505,0.179051417827701,"cfho_count_unadj","angle=240","san_diego_unincorporated"
"49",1348,0.15404864825665,0.15279072803101,"cfho_count_unadj","angle=270","san_diego_unincorporated"
"50",1556,0.149821397065395,0.148726511549703,"cfho_count_unadj","angle=300","san_diego_unincorporated"
"51",1553,0.197963127719562,0.196928241432749,"cfho_count_unadj","angle=330","san_diego_unincorporated"
"52",1544,0.190522357578605,0.189471770112776,"cfho_count_unadj","angle=360","san_diego_unincorporated"
"53",102,0.32779092222464,0.277732799411582,"cfho_any_adj","angle=0","fremont"
"54",101,0.328244843527478,0.277682627448902,"cfho_any_adj","angle=30","fremont"
"55",101,0.20107639226798,0.140942357277397,"cfho_any_adj","angle=60","fremont"
"56",103,0.236717356112693,0.180475477089418,"cfho_any_adj","angle=90","fremont"
"57",106,0.274878035873003,0.223083609863931,"cfho_any_adj","angle=120","fremont"
"58",105,0.249278350687831,0.195102561562211,"cfho_any_adj","angle=150","fremont"
"59",105,0.211649316301714,0.15475802984926,"cfho_any_adj","angle=180","fremont"
"60",104,0.335432483479253,0.286974435399616,"cfho_any_adj","angle=210","fremont"
"61",103,0.255021533199318,0.200128383014004,"cfho_any_adj","angle=240","fremont"
"62",102,0.290679458079257,0.237857715595797,"cfho_any_adj","angle=270","fremont"
"63",102,0.343609821234869,0.294729701539593,"cfho_any_adj","angle=300","fremont"
"64",102,0.32779092222464,0.277732799411582,"cfho_any_adj","angle=330","fremont"
"65",102,0.32779092222464,0.277732799411582,"cfho_any_adj","angle=360","fremont"
"66",87,0.354892556219514,0.339532855177122,"cfho_any_unadj","angle=0","hayward"
"67",87,0.40476261172206,0.390590292953538,"cfho_any_unadj","angle=30","hayward"
"68",87,0.374321593021016,0.359424488092945,"cfho_any_unadj","angle=60","hayward"
"69",87,0.381746244866854,0.367025917363684,"cfho_any_unadj","angle=90","hayward"
"70",91,0.291736250742827,0.275639347350619,"cfho_any_unadj","angle=120","hayward"
"71",91,0.291736250742827,0.275639347350619,"cfho_any_unadj","angle=150","hayward"
"72",91,0.357920685421417,0.343327973726449,"cfho_any_unadj","angle=180","hayward"
"73",88,0.366330118888556,0.351420239332993,"cfho_any_unadj","angle=210","hayward"
"74",90,0.278570839497337,0.261986261094977,"cfho_any_unadj","angle=240","hayward"
"75",90,0.295035275927072,0.2788291903162,"cfho_any_unadj","angle=270","hayward"
"76",89,0.33595662483441,0.320513755644513,"cfho_any_unadj","angle=300","hayward"
"77",89,0.3544196336326,0.339406136740335,"cfho_any_unadj","angle=330","hayward"
"78",87,0.354892556219514,0.339532855177122,"cfho_any_unadj","angle=360","hayward"
"79",175,0.438940827201331,0.4154233768445,"cfho_count_adj","angle=0","riverside"
"80",171,0.383611654962322,0.357140989838005,"cfho_count_adj","angle=30","riverside"
"81",171,0.419164423938936,0.394220564844289,"cfho_count_adj","angle=60","riverside"
"82",179,0.36577053060307,0.339807920744716,"cfho_count_adj","angle=90","riverside"
"83",183,0.391958600317818,0.367636944330531,"cfho_count_adj","angle=120","riverside"
"84",182,0.34715365978994,0.320889726563098,"cfho_count_adj","angle=150","riverside"
"85",182,0.308656219211735,0.280843538375426,"cfho_count_adj","angle=180","riverside"
"86",179,0.30349693139576,0.274985109873949,"cfho_count_adj","angle=210","riverside"
"87",177,0.340547644183554,0.313233049563938,"cfho_count_adj","angle=240","riverside"
"88",176,0.372278855501115,0.346123807813661,"cfho_count_adj","angle=270","riverside"
"89",178,0.398121470087914,0.373338236503299,"cfho_count_adj","angle=300","riverside"
"90",179,0.410471351133471,0.386338599425484,"cfho_count_adj","angle=330","riverside"
"91",175,0.438940827201331,0.4154233768445,"cfho_count_adj","angle=360","riverside"
"92",1544,0.190522357578605,0.189471770112776,"cfho_count_unadj","angle=0","san_diego_unincorporated"
"93",1537,0.212444623883844,0.21141782417574,"cfho_count_unadj","angle=30","san_diego_unincorporated"
"94",1531,0.170699865638468,0.169614394258414,"cfho_count_unadj","angle=60","san_diego_unincorporated"
"95",1543,0.173798717965399,0.172725729287432,"cfho_count_unadj","angle=90","san_diego_unincorporated"
"96",1561,0.189002512881072,0.18796143780133,"cfho_count_unadj","angle=120","san_diego_unincorporated"
"97",1561,0.175389946653183,0.174331397162366,"cfho_count_unadj","angle=150","san_diego_unincorporated"
"98",1565,0.226315523112663,0.225324889979644,"cfho_count_unadj","angle=180","san_diego_unincorporated"
"99",1568,0.185273855468255,0.184232671896968,"cfho_count_unadj","angle=210","san_diego_unincorporated"
"100",1570,0.180097878735505,0.179051417827701,"cfho_count_unadj","angle=240","san_diego_unincorporated"
"101",1348,0.15404864825665,0.15279072803101,"cfho_count_unadj","angle=270","san_diego_unincorporated"
"102",1556,0.149821397065395,0.148726511549703,"cfho_count_unadj","angle=300","san_diego_unincorporated"
"103",1553,0.197963127719562,0.196928241432749,"cfho_count_unadj","angle=330","san_diego_unincorporated"
"104",1544,0.190522357578605,0.189471770112776,"cfho_count_unadj","angle=360","san_diego_unincorporated"
"105",102,0.32779092222464,0.277732799411582,"cfho_any_adj","angle=0","fremont"
"106",101,0.328244843527478,0.277682627448902,"cfho_any_adj","angle=30","fremont"
"107",101,0.20107639226798,0.140942357277397,"cfho_any_adj","angle=60","fremont"
"108",103,0.236717356112693,0.180475477089418,"cfho_any_adj","angle=90","fremont"
"109",106,0.274878035873003,0.223083609863931,"cfho_any_adj","angle=120","fremont"
"110",105,0.249278350687831,0.195102561562211,"cfho_any_adj","angle=150","fremont"
"111",105,0.211649316301714,0.15475802984926,"cfho_any_adj","angle=180","fremont"
"112",104,0.335432483479253,0.286974435399616,"cfho_any_adj","angle=210","fremont"
"113",103,0.255021533199318,0.200128383014004,"cfho_any_adj","angle=240","fremont"
"114",102,0.290679458079257,0.237857715595797,"cfho_any_adj","angle=270","fremont"
"115",102,0.343609821234869,0.294729701539593,"cfho_any_adj","angle=300","fremont"
"116",102,0.32779092222464,0.277732799411582,"cfho_any_adj","angle=330","fremont"
"117",102,0.32779092222464,0.277732799411582,"cfho_any_adj","angle=360","fremont"
"118",87,0.354892556219514,0.339532855177122,"cfho_any_unadj","angle=0","hayward"
"119",87,0.40476261172206,0.390590292953538,"cfho_any_unadj","angle=30","hayward"
"120",87,0.374321593021016,0.359424488092945,"cfho_any_unadj","angle=60","hayward"
"121",87,0.381746244866854,0.367025917363684,"cfho_any_unadj","angle=90","hayward"
"122",91,0.291736250742827,0.275639347350619,"cfho_any_unadj","angle=120","hayward"
"123",91,0.291736250742827,0.275639347350619,"cfho_any_unadj","angle=150","hayward"
"124",91,0.357920685421417,0.343327973726449,"cfho_any_unadj","angle=180","hayward"
"125",88,0.366330118888556,0.351420239332993,"cfho_any_unadj","angle=210","hayward"
"126",90,0.278570839497337,0.261986261094977,"cfho_any_unadj","angle=240","hayward"
"127",90,0.295035275927072,0.2788291903162,"cfho_any_unadj","angle=270","hayward"
"128",89,0.33595662483441,0.320513755644513,"cfho_any_unadj","angle=300","hayward"
"129",89,0.3544196336326,0.339406136740335,"cfho_any_unadj","angle=330","hayward"
"130",87,0.354892556219514,0.339532855177122,"cfho_any_unadj","angle=360","hayward"
"131",175,0.438940827201331,0.4154233768445,"cfho_count_adj","angle=0","riverside"
"132",171,0.383611654962322,0.357140989838005,"cfho_count_adj","angle=30","riverside"
"133",171,0.419164423938936,0.394220564844289,"cfho_count_adj","angle=60","riverside"
"134",179,0.36577053060307,0.339807920744716,"cfho_count_adj","angle=90","riverside"
"135",183,0.391958600317818,0.367636944330531,"cfho_count_adj","angle=120","riverside"
"136",182,0.34715365978994,0.320889726563098,"cfho_count_adj","angle=150","riverside"
"137",182,0.308656219211735,0.280843538375426,"cfho_count_adj","angle=180","riverside"
"138",179,0.30349693139576,0.274985109873949,"cfho_count_adj","angle=210","riverside"
"139",177,0.340547644183554,0.313233049563938,"cfho_count_adj","angle=240","riverside"
"140",176,0.372278855501115,0.346123807813661,"cfho_count_adj","angle=270","riverside"
"141",178,0.398121470087914,0.373338236503299,"cfho_count_adj","angle=300","riverside"
"142",179,0.410471351133471,0.386338599425484,"cfho_count_adj","angle=330","riverside"
"143",175,0.438940827201331,0.4154233768445,"cfho_count_adj","angle=360","riverside"
"144",1544,0.190522357578605,0.189471770112776,"cfho_count_unadj","angle=0","san_diego_unincorporated"
"145",1537,0.212444623883844,0.21141782417574,"cfho_count_unadj","angle=30","san_diego_unincorporated"
"146",1531,0.170699865638468,0.169614394258414,"cfho_count_unadj","angle=60","san_diego_unincorporated"
"147",1543,0.173798717965399,0.172725729287432,"cfho_count_unadj","angle=90","san_diego_unincorporated"
"148",1561,0.189002512881072,0.18796143780133,"cfho_count_unadj","angle=120","san_diego_unincorporated"
"149",1561,0.175389946653183,0.174331397162366,"cfho_count_unadj","angle=150","san_diego_unincorporated"
"150",1565,0.226315523112663,0.225324889979644,"cfho_count_unadj","angle=180","san_diego_unincorporated"
"151",1568,0.185273855468255,0.184232671896968,"cfho_count_unadj","angle=210","san_diego_unincorporated"
"152",1570,0.180097878735505,0.179051417827701,"cfho_count_unadj","angle=240","san_diego_unincorporated"
