"","Fremont","Hayward","Riverside","San Diego County"
"Intercept","-2.94 (2.77)"," 0.36 (3.10)"," 0.74 (1.94)"," 0.93 (1.01)"
"One or more CFHP units"," 0.95* (0.35)"," 1.93* (0.70)"," 0.30 (0.38)"," 0.61 (0.34)"
"Rental Units (in hundreds)"," 0.19* (0.06)"," 0.62* (0.11)"," 0.88* (0.10)"," 0.48* (0.02)"
"Per Capita Income (in $10,000 dollars)","-0.04 (0.13)"," 0.17 (0.21)"," 0.21 (0.18)"," 0.02 (0.05)"
"Asian (Pop %)"," 3.27 (2.89)"," 0.29 (3.27)"," 1.09 (2.53)","-1.98 (1.05)"
"White (Pop %)"," 6.07 (3.64)","-3.78 (3.63)","-0.94 (3.24)"," 3.38* (1.28)"
"Black (Pop %)"," 2.07 (2.34)","-1.07 (2.40)","-2.91* (1.47)","-1.20 (0.96)"
"American Indian/Alaskan Native (Pop %)","10.17 (8.97)","12.72 (9.95)"," 1.78 (5.60)"," 1.82 (2.14)"
"Latin/Hispanic (Pop %)"," 1.95 (2.82)","-1.58 (2.48)"," 1.49 (1.41)"," 0.98* (0.40)"
"Treated units","32","12","74","75"
"Total units","118","100","201","1754"
"R-squared","0.33","0.41","0.45","0.26"
