"","Fremont","Hayward","Riverside","San Diego County"
"Intercept","-1.69 (2.79)"," 0.36 ( 3.11)"," 0.77 (1.94)"," 0.90 (1.01)"
"One or more CFHP units"," 0.37 (0.44)"," 2.79* ( 1.38)"," 0.10 (0.57)"," 0.72 (0.41)"
"One or more CFHP units*Black (Pop %)","16.51* (7.90)","-5.40 ( 7.52)"," 2.54 (5.33)","-2.59 (5.61)"
"Rental Units (in hundreds)"," 0.17* (0.06)"," 0.61* ( 0.11)"," 0.88* (0.10)"," 0.48* (0.02)"
"Per Capita Income (in $10,000 dollars)","-0.05 (0.12)"," 0.16 ( 0.21)"," 0.21 (0.18)"," 0.02 (0.05)"
"Asian (Pop %)"," 2.20 (2.89)"," 0.27 ( 3.28)"," 1.11 (2.53)","-1.96 (1.05)"
"White (Pop %)"," 2.03 (4.08)","-2.98 ( 3.81)","-1.71 (3.63)"," 3.46* (1.30)"
"Black (Pop %)"," 1.36 (2.33)","-1.07 ( 2.40)","-2.89 (1.47)","-1.17 (0.97)"
"American Indian/Alaskan Native (Pop %)"," 6.04 (9.05)","12.12 (10.01)"," 1.43 (5.66)"," 1.88 (2.15)"
"Latin/Hispanic (Pop %)"," 1.20 (2.80)","-1.66 ( 2.49)"," 1.53 (1.42)"," 0.98* (0.40)"
"Treated units","32","12","74","75"
"Total units","118","100","201","1754"
"R-squared","0.36","0.41","0.45","0.26"
