"","Fremont","Hayward","Riverside","San Diego County"
"Intercept","-2.99 (2.80)"," 0.25 ( 3.12)"," 0.77 (1.92)"," 0.93 (1.01)"
"Number of CFHP units"," 0.42* (0.17)"," 1.09* ( 0.42)"," 0.30* (0.14)"," 0.16 (0.16)"
"Rental Units (in hundreds)"," 0.22* (0.06)"," 0.58* ( 0.12)"," 0.79* (0.10)"," 0.48* (0.02)"
"Per Capita Income (in $10,000 dollars)","-0.01 (0.13)"," 0.15 ( 0.21)"," 0.23 (0.18)"," 0.02 (0.05)"
"Asian (Pop %)"," 3.15 (2.95)"," 0.43 ( 3.29)"," 1.57 (2.51)","-1.99 (1.05)"
"White (Pop %)"," 5.46 (3.70)","-3.21 ( 3.64)","-0.31 (3.22)"," 3.34* (1.28)"
"Black (Pop %)"," 1.88 (2.38)","-0.58 ( 2.41)","-3.14* (1.46)","-1.16 (0.96)"
"American Indian/Alaskan Native (Pop %)","12.70 (8.91)","14.59 (10.02)"," 1.03 (5.56)"," 1.92 (2.15)"
"Latin/Hispanic (Pop %)"," 2.30 (2.83)","-1.56 ( 2.49)"," 1.63 (1.40)"," 0.97* (0.40)"
"Treated units","32","12","74","75"
"Total units","118","100","201","1754"
"R-squared","0.32","0.4","0.46","0.26"
