,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 0.97* (0.05), 1.07* (0.06), 0.74* (0.05), 0.28* (0.03), 0.65* (0.05), 1.02* (0.06), 0.49* (0.04), 0.67* (0.05), 0.79* (0.06), 0.83* (0.05), 1.15* (0.06), 0.97* (0.05)
Rental Units (in hundreds), 0.21* (0.01), 0.19* (0.01), 0.13* (0.01), 0.21* (0.01), 0.21* (0.01), 0.09* (0.01), 0.20* (0.01), 0.25* (0.01), 0.16* (0.01), 0.14* (0.01), 0.16* (0.01), 0.21* (0.01)
Per Capita Income (in $10,000 dollars),-0.09* (0.02),-0.07* (0.02),-0.05* (0.02), 0.00 (0.02),-0.11* (0.02),-0.26* (0.04),-0.09* (0.03),-0.16* (0.03),-0.12* (0.02),-0.11* (0.02),-0.07* (0.02),-0.09* (0.02)
Asian (Pop %), 3.63* (0.46), 3.37* (0.53), 4.48* (0.47), 1.30* (0.29), 4.03* (0.45), 2.55* (0.39), 3.28* (0.39), 6.90* (0.60), 4.03* (0.50), 3.83* (0.53), 2.79* (0.44), 3.63* (0.46)
White (Pop %), 8.63* (0.90), 8.21* (0.88), 8.58* (0.85), 5.23* (0.54), 7.26* (0.80), 7.08* (0.80), 4.83* (0.52), 9.25* (0.79), 8.60* (0.78),10.80* (0.77), 8.45* (0.78), 8.63* (0.90)
Black (Pop %), 3.43* (0.30), 3.05* (0.36), 4.15* (0.38), 2.67* (0.23), 3.39* (0.23), 1.83* (0.25), 3.15* (0.27), 5.78* (0.46), 3.79* (0.36), 2.89* (0.40), 3.04* (0.31), 3.43* (0.30)
American Indian/Alaskan Native (Pop %),11.57* (1.37),12.95* (1.32), 2.89* (0.86), 7.98* (0.88),12.42* (1.36),10.30* (1.21),12.83* (1.28),17.50* (1.41),14.10* (1.27),14.91* (1.21),11.16* (1.20),11.57* (1.37)
Latin/Hispanic (Pop %), 1.08* (0.38), 0.56 (0.45), 2.38* (0.40),-1.83* (0.26),-0.09 (0.37), 0.66 (0.38), 1.10* (0.41), 1.42* (0.54), 0.98* (0.48), 0.84 (0.44),-1.24* (0.34), 1.08* (0.38)
Treated units,32,32,32,32,32,32,32,32,32,32,32,32
Total units,103,102,106,103,106,105,106,105,105,104,102,103
R-squared,0.33,0.33,0.21,0.25,0.28,0.25,0.22,0.35,0.24,0.29,0.35,0.33
