,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 1.48* (0.11), 1.50* (0.11), 1.62* (0.12), 1.97* (0.11), 1.94* (0.11), 1.95* (0.11), 1.94* (0.11), 1.52* (0.12), 1.16* (0.09), 1.21* (0.11), 1.92* (0.10), 1.48* (0.10)
Rental Units (in hundreds), 0.63* (0.02), 0.63* (0.02), 0.65* (0.02), 0.55* (0.02), 0.60* (0.02), 0.60* (0.02), 0.62* (0.03), 0.73* (0.02), 0.64* (0.03), 0.67* (0.03), 0.70* (0.02), 0.63* (0.02)
Per Capita Income (in $10,000 dollars), 0.25* (0.03), 0.31* (0.03), 0.24* (0.03), 0.22* (0.03), 0.44* (0.07), 0.44* (0.07), 0.48* (0.07), 0.75* (0.07), 0.39* (0.06), 0.37* (0.06), 0.13* (0.03), 0.21* (0.03)
Asian (Pop %),-2.90* (0.35),-2.92* (0.36),-2.10* (0.40),-2.36* (0.40),-0.87 (0.51),-0.96 (0.52),-1.57* (0.54),-0.60 (0.48),-1.36* (0.39),-2.98* (0.29),-1.16* (0.44),-2.30* (0.36)
White (Pop %),-2.74* (0.41),-2.38* (0.40),-4.91* (0.40),-0.65 (0.42),-1.62* (0.36),-1.75* (0.33),-1.65* (0.34),-2.29* (0.32),-8.98* (0.44),-9.68* (0.54),-3.74* (0.39),-3.30* (0.38)
Black (Pop %),-2.83* (0.24),-2.77* (0.23),-3.10* (0.27),-1.79* (0.34),-1.46* (0.32),-1.47* (0.33),-1.31* (0.34),-1.41* (0.33),-5.45* (0.29),-6.45* (0.39),-2.91* (0.31),-2.90* (0.24)
American Indian/Alaskan Native (Pop %),17.00* (1.39),16.73* (1.34),10.71* (1.17), 7.25* (1.28), 7.94* (1.54), 7.79* (1.51), 9.25* (1.63),10.84* (1.68),-2.06 (1.44),-0.52 (1.58),11.78* (1.52),16.82* (1.27)
Latin/Hispanic (Pop %),-3.82* (0.34),-3.69* (0.34),-3.72* (0.39),-2.80* (0.41),-1.53* (0.39),-1.58* (0.39),-2.16* (0.43),-1.31* (0.35),-1.06* (0.23),-2.49* (0.30),-3.52* (0.36),-4.07* (0.33)
Treated units,12,12,12,12,12,12,12,12,12,12,12,12
Total units,88,88,89,87,92,92,92,90,92,92,87,90
R-squared,0.43,0.43,0.44,0.41,0.36,0.36,0.36,0.45,0.39,0.41,0.48,0.44
