,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 1.49* (0.06), 1.55* (0.06), 1.07* (0.05), 0.79* (0.04), 1.19* (0.07), 1.22* (0.06), 0.96* (0.06), 1.23* (0.06), 1.19* (0.06), 1.18* (0.05), 1.56* (0.06), 1.49* (0.06)
Per Capita Income (in $10,000 dollars),-0.14* (0.02),-0.10* (0.02),-0.10* (0.02),-0.12* (0.02),-0.14* (0.03),-0.29* (0.03),-0.20* (0.03),-0.21* (0.03),-0.13* (0.02),-0.12* (0.02),-0.10* (0.02),-0.14* (0.02)
Asian (Pop %),-0.05 (0.44),-0.01 (0.51), 2.82* (0.51),-0.95* (0.30), 0.84* (0.33), 1.51* (0.35), 0.97* (0.36), 2.54* (0.59), 1.19* (0.51), 1.23* (0.54),-0.24 (0.44),-0.05 (0.44)
White (Pop %), 7.32* (0.89), 7.50* (0.84), 8.25* (0.83), 5.00* (0.54), 6.69* (0.79), 6.88* (0.79), 3.92* (0.55), 9.42* (0.80), 7.96* (0.76),10.29* (0.74), 7.52* (0.76), 7.32* (0.89)
Black (Pop %), 0.12 (0.34), 0.09 (0.38), 2.55* (0.42), 0.28 (0.24), 0.64* (0.17), 0.86* (0.22), 0.83* (0.22), 1.75* (0.46), 1.23* (0.37), 0.38 (0.41), 0.36 (0.32), 0.12 (0.34)
American Indian/Alaskan Native (Pop %), 6.14* (1.16), 8.66* (1.15),-2.56* (0.89),-0.52 (0.81), 7.33* (1.40), 7.88* (1.13), 2.94* (1.25),12.22* (1.32),11.08* (1.10),11.97* (1.11), 7.35* (1.00), 6.14* (1.16)
Latin/Hispanic (Pop %),-2.33* (0.31),-2.64* (0.37), 0.54 (0.40),-4.60* (0.27),-3.14* (0.27),-0.55 (0.30),-1.89* (0.33),-2.87* (0.46),-1.63* (0.45),-1.51* (0.41),-4.11* (0.29),-2.33* (0.31)
Treated units,32,32,32,32,32,32,32,32,32,32,32,32
Total units,103,102,106,103,106,105,106,105,105,104,102,103
R-squared,0.27,0.28,0.18,0.16,0.21,0.24,0.14,0.26,0.21,0.26,0.31,0.27
