,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 2.53* (0.10), 2.55* (0.10), 2.81* (0.12), 2.82* (0.11), 2.63* (0.10), 2.64* (0.10), 2.65* (0.10), 2.99* (0.16),  2.77* (0.11), 3.18* (0.12), 3.03* (0.12), 2.54* (0.11)
Per Capita Income (in $10,000 dollars),-0.12* (0.02),-0.03 (0.02),-0.17* (0.03), 0.08* (0.02), 0.30* (0.06), 0.30* (0.06), 0.39* (0.07), 0.52* (0.08),  0.10 (0.06), 0.10 (0.05),-0.05 (0.03),-0.12* (0.02)
Asian (Pop %),-0.29 (0.24),-0.59* (0.28),-0.49 (0.30),-1.02* (0.29), 1.04* (0.52), 1.00 (0.54),-0.04 (0.49), 0.30 (0.36),  2.31* (0.58), 0.23 (0.36),-1.98* (0.30), 0.38 (0.27)
White (Pop %), 3.09* (0.36), 3.26* (0.37),-1.15* (0.48), 3.51* (0.34), 2.56* (0.35), 2.49* (0.33), 2.98* (0.34), 3.01* (0.28), -3.49* (0.49),-4.49* (0.51), 1.14* (0.39), 2.25* (0.33)
Black (Pop %),-2.55* (0.37),-3.06* (0.39),-4.74* (0.33),-2.02* (0.45),-2.71* (0.42),-2.73* (0.43),-2.51* (0.42),-2.66* (0.44), -4.96* (0.43),-5.90* (0.58),-4.24* (0.54),-2.55* (0.36)
American Indian/Alaskan Native (Pop %), 2.68 (1.61), 1.08 (1.42),-2.18 (1.54),-0.67 (1.64),-4.23* (2.03),-4.40* (2.01),-3.13 (2.15), 2.23 (2.60),-12.04* (1.60),-9.61* (1.87),-7.48* (1.96), 1.98 (1.52)
Latin/Hispanic (Pop %),-0.59* (0.26),-0.54* (0.27),-0.46 (0.36),-0.89* (0.40), 1.89* (0.48), 1.89* (0.49), 1.11* (0.50), 1.31* (0.40),  2.70* (0.41), 1.12* (0.30),-0.63 (0.32),-0.42 (0.25)
Treated units,12,12,12,12,12,12,12,12,12,12,12,12
Total units,88,88,89,87,92,92,92,90,92,92,87,90
R-squared,0.21,0.22,0.22,0.24,0.18,0.18,0.18,0.22,0.19,0.21,0.25,0.2
