,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 1.99* (0.08), 1.92* (0.08), 1.79* (0.08), 2.15* (0.08), 1.99* (0.12), 2.20* (0.11), 1.90* (0.04), 1.72* (0.08), 2.10* (0.13), 2.47* (0.12), 1.91* (0.08), 1.95* (0.08)
Per Capita Income (in $10,000 dollars), 0.08 (0.05), 0.08* (0.04), 0.08* (0.04), 0.05 (0.04), 0.16* (0.03), 0.07 (0.04),-0.02 (0.04),-0.11* (0.03),-0.17* (0.04), 0.16* (0.03), 0.10* (0.04), 0.07 (0.04)
Asian (Pop %), 2.99* (0.91), 0.48 (1.00), 0.82 (1.06), 1.68 (1.12), 5.58* (1.53), 3.31* (1.33), 4.71* (1.11), 8.61* (0.89), 8.34* (1.08), 6.16* (0.48), 3.12* (0.77), 2.68* (0.79)
White (Pop %), 3.08* (0.87), 3.08* (1.04), 3.88* (1.17), 2.53* (1.01), 5.89* (0.85), 3.67* (0.99), 5.13* (0.84), 6.03* (0.94), 6.51* (0.77), 2.66* (0.63), 3.32* (0.69), 2.22* (0.77)
Black (Pop %),-2.99* (0.33),-2.53* (0.34),-2.25* (0.38),-3.31* (0.32),-1.06* (0.32),-2.18* (0.26),-2.84* (0.22),-1.58* (0.21),-1.34* (0.28),-3.89* (0.27),-3.33* (0.33),-3.56* (0.33)
American Indian/Alaskan Native (Pop %), 2.53 (1.45), 2.64 (1.69), 3.68* (1.58), 6.50* (1.54),-5.58* (1.26),-3.60* (1.29), 2.83* (1.43), 3.83* (1.31),-0.02 (1.19),-0.12 (1.21), 1.92 (1.22), 3.08* (1.38)
Latin/Hispanic (Pop %), 2.88* (0.29), 0.32 (0.31), 0.66 (0.34), 1.52* (0.35), 2.95* (0.30), 1.64* (0.26), 2.56* (0.20), 2.45* (0.23), 1.81* (0.33), 2.14* (0.37), 2.75* (0.35), 2.36* (0.34)
Treated units,74,74,74,74,74,74,74,74,74,74,74,74
Total units,178,177,175,179,185,185,183,182,181,181,182,182
R-squared,0.2,0.12,0.12,0.18,0.15,0.18,0.21,0.19,0.21,0.24,0.2,0.2
