,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 0.32* (0.09), 0.32* (0.11), 0.20 (0.10), 0.60* (0.11), 0.41* (0.09), 0.82* (0.09), 0.89* (0.06), 0.63* (0.09), 1.21* (0.12), 1.18* (0.13), 0.64* (0.11), 0.63* (0.11)
Rental Units (in hundreds), 0.86* (0.02), 0.88* (0.02), 0.90* (0.03), 0.84* (0.03), 0.80* (0.02), 0.70* (0.02), 0.60* (0.02), 0.62* (0.03), 0.64* (0.02), 0.67* (0.03), 0.72* (0.03), 0.73* (0.03)
Per Capita Income (in $10,000 dollars), 0.23* (0.03), 0.26* (0.02), 0.26* (0.02), 0.26* (0.03), 0.37* (0.02), 0.23* (0.03), 0.20* (0.03), 0.14* (0.03), 0.16* (0.04), 0.28* (0.03), 0.14* (0.03), 0.12* (0.03)
Asian (Pop %), 2.20* (0.66),-0.91 (0.77),-0.53 (0.81), 0.97 (0.95), 3.79* (1.03), 2.61* (0.98), 4.01* (0.87), 6.32* (0.80), 6.54* (0.86), 5.19* (0.52), 1.97* (0.52), 1.54* (0.53)
White (Pop %),-3.29* (0.52),-4.17* (0.74),-3.47* (0.81),-5.36* (0.57),-1.38 (0.71),-2.12* (0.89), 1.45* (0.63), 0.33 (0.81), 0.41 (0.78),-0.70 (0.64),-1.53* (0.60),-2.33* (0.64)
Black (Pop %),-2.46* (0.36),-1.29* (0.36),-0.87* (0.40),-2.09* (0.33),-0.84* (0.28),-2.44* (0.27),-2.51* (0.28),-1.68* (0.27),-1.77* (0.31),-2.83* (0.22),-2.41* (0.29),-2.54* (0.30)
American Indian/Alaskan Native (Pop %), 7.07* (1.11), 2.79* (1.08), 4.41* (0.95), 6.01* (1.07), 0.55 (1.25),-0.34 (1.29), 4.39* (1.23), 4.49* (1.04), 2.67* (1.10),-0.43 (1.06), 4.27* (1.17), 5.30* (1.31)
Latin/Hispanic (Pop %), 2.19* (0.31), 0.76* (0.31), 1.11* (0.34), 1.68* (0.31), 2.07* (0.28), 0.82* (0.28), 2.52* (0.19), 2.16* (0.28), 1.77* (0.35), 2.25* (0.32), 2.47* (0.26), 2.18* (0.26)
Treated units,74,74,74,74,74,74,74,74,74,74,74,74
Total units,178,177,175,179,185,185,183,182,181,181,182,182
R-squared,0.44,0.39,0.4,0.41,0.38,0.34,0.33,0.32,0.35,0.39,0.39,0.4
