,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 0.19 (0.21), 0.58* (0.18), 1.03* (0.24), 0.77* (0.18), 1.44* (0.33), 0.60* (0.16), 0.75* (0.23), 0.65* (0.21), 0.82* (0.24), 0.69* (0.17), 0.81* (0.11), 0.79* (0.20)
Rental Units (in hundreds), 0.44* (0.08), 0.48* (0.09), 0.39* (0.10), 0.38* (0.10), 0.37* (0.09), 0.39* (0.11), 0.50* (0.09), 0.39* (0.11), 0.36* (0.11), 0.31* (0.10), 0.30* (0.09), 0.46* (0.09)
Per Capita Income (in $10,000 dollars), 0.03 (0.03), 0.02 (0.03), 0.05 (0.05), 0.05 (0.04),-0.01 (0.03), 0.06 (0.04), 0.19* (0.04), 0.07 (0.04), 0.06 (0.03),-0.11* (0.03),-0.12* (0.03), 0.03 (0.02)
Asian (Pop %), 0.15 (0.48), 1.43* (0.39), 0.51 (0.82), 0.81 (0.90), 0.85 (0.73), 0.73 (0.94), 0.52 (0.58), 0.83 (0.77), 1.18 (0.69), 1.44* (0.55), 0.89* (0.45),-1.10* (0.51)
White (Pop %), 2.38* (0.56), 3.38* (0.54), 3.72* (1.02), 3.29* (1.29), 2.47* (1.22), 2.28 (1.25), 2.03* (0.73), 2.88* (1.05), 2.62* (1.04), 2.50* (0.82), 1.93* (0.75),-0.29 (0.59)
Black (Pop %),-0.72 (0.47),-0.05 (0.33),-0.77 (0.71),-0.46 (0.77),-0.80 (0.73),-1.78* (0.75),-0.90 (0.52),-0.10 (0.76),-0.11 (0.75),-0.43 (0.61),-0.35 (0.46),-1.82* (0.41)
American Indian/Alaskan Native (Pop %), 0.52 (0.71), 0.89 (0.78),-0.55 (0.85),-2.03* (0.69),-1.53* (0.67),-3.02* (0.85), 0.34 (0.93), 3.36* (0.99), 2.03* (0.79), 0.35 (0.82), 0.01 (0.81),-0.76 (0.63)
Latin/Hispanic (Pop %), 0.73* (0.21), 1.38* (0.25), 0.05 (0.34),-0.03 (0.46), 0.52 (0.45),-0.40 (0.44),-0.18 (0.40), 0.34 (0.42), 1.03* (0.45), 1.26* (0.33), 1.13* (0.25), 0.27 (0.35)
Treated units,75,75,75,75,75,75,75,75,75,75,75,75
Total units,1568,1566,1567,1567,1580,1603,1597,1598,1601,1381,1573,1579
R-squared,0.19,0.22,0.18,0.17,0.17,0.18,0.23,0.19,0.18,0.15,0.16,0.2
