,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 0.93* (0.05), 1.03* (0.06), 0.67* (0.04), 0.28* (0.03), 0.62* (0.05), 1.02* (0.06), 0.48* (0.04), 0.68* (0.05), 0.79* (0.06), 0.83* (0.05), 1.13* (0.06), 0.93* (0.05)
One or more CFHP units*Black (Pop %),-4.80* (0.73),-3.62* (0.63), 8.37* (0.90),-1.43 (0.74), 4.58* (0.62), 1.99* (0.79), 4.28* (0.72), 7.57* (0.78), 2.59* (0.60), 1.81* (0.56),-3.10* (0.52),-4.80* (0.73)
Rental Units (in hundreds), 0.20* (0.01), 0.19* (0.01), 0.14* (0.01), 0.21* (0.01), 0.20* (0.01), 0.09* (0.01), 0.21* (0.01), 0.26* (0.01), 0.16* (0.01), 0.14* (0.01), 0.16* (0.01), 0.20* (0.01)
Per Capita Income (in $10,000 dollars),-0.09* (0.02),-0.07* (0.02),-0.06* (0.02), 0.00 (0.02),-0.11* (0.02),-0.26* (0.03),-0.09* (0.02),-0.17* (0.02),-0.11* (0.02),-0.11* (0.02),-0.08* (0.02),-0.09* (0.02)
Asian (Pop %), 3.16* (0.46), 2.97* (0.54), 4.81* (0.50), 1.24* (0.30), 4.11* (0.46), 2.50* (0.39), 3.62* (0.45), 8.22* (0.74), 4.12* (0.52), 3.85* (0.54), 2.61* (0.45), 3.16* (0.46)
White (Pop %), 8.59* (0.89), 8.08* (0.89), 9.15* (0.85), 5.09* (0.56), 7.97* (0.93), 7.46* (0.93), 5.39* (0.58),10.17* (0.87), 9.05* (0.86),11.11* (0.84), 8.22* (0.79), 8.59* (0.89)
Black (Pop %), 2.75* (0.31), 2.53* (0.38), 4.46* (0.40), 2.63* (0.24), 3.56* (0.25), 1.75* (0.24), 3.41* (0.31), 6.74* (0.53), 3.89* (0.38), 2.96* (0.41), 2.68* (0.32), 2.75* (0.31)
American Indian/Alaskan Native (Pop %),11.58* (1.41),12.89* (1.34), 1.43 (0.74), 8.23* (0.86),11.88* (1.32),10.23* (1.20),12.33* (1.18),16.78* (1.31),14.13* (1.27),14.99* (1.23),10.86* (1.22),11.58* (1.41)
Latin/Hispanic (Pop %), 1.13* (0.37), 0.60 (0.44), 2.69* (0.41),-1.91* (0.27), 0.10 (0.38), 0.69 (0.38), 1.57* (0.49), 2.45* (0.67), 0.99* (0.48), 0.76 (0.43),-1.04* (0.33), 1.13* (0.37)
Treated units,32,32,32,32,32,32,32,32,32,32,32,32
Total units,103,102,106,103,106,105,106,105,105,104,102,103
R-squared,0.33,0.33,0.22,0.25,0.28,0.25,0.22,0.36,0.25,0.29,0.35,0.33
