,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 1.39* (0.10), 1.42* (0.10), 1.63* (0.13), 1.94* (0.11), 1.84* (0.11), 1.84* (0.11), 1.83* (0.11), 1.44* (0.11),  1.50* (0.09), 1.54* (0.10), 1.77* (0.11), 1.39* (0.10)
One or more CFHP units*Black (Pop %),-7.03* (0.42),-6.14* (0.42), 0.17 (0.63),-1.35* (0.46),-4.23* (0.40),-4.71* (0.38),-4.54* (0.38),-4.47* (0.39),-12.59* (0.61),-9.77* (0.87),-5.16* (0.49),-6.79* (0.40)
Rental Units (in hundreds), 0.66* (0.02), 0.66* (0.02), 0.65* (0.02), 0.55* (0.02), 0.61* (0.03), 0.62* (0.02), 0.63* (0.03), 0.74* (0.02),  0.63* (0.02), 0.67* (0.03), 0.71* (0.02), 0.65* (0.02)
Per Capita Income (in $10,000 dollars), 0.23* (0.03), 0.29* (0.03), 0.24* (0.03), 0.22* (0.03), 0.44* (0.07), 0.45* (0.07), 0.49* (0.08), 0.76* (0.07),  0.41* (0.06), 0.41* (0.06), 0.12* (0.03), 0.19* (0.03)
Asian (Pop %),-3.17* (0.30),-3.13* (0.32),-2.09* (0.38),-2.46* (0.39),-1.13* (0.50),-1.26* (0.50),-1.83* (0.51),-0.81 (0.44), -1.68* (0.33),-3.01* (0.29),-1.30* (0.40),-2.58* (0.31)
White (Pop %),-4.06* (0.53),-3.49* (0.49),-4.89* (0.40),-0.84 (0.44),-2.18* (0.38),-2.38* (0.35),-2.26* (0.37),-2.88* (0.35), -9.15* (0.45),-9.29* (0.51),-4.52* (0.49),-4.48* (0.48)
Black (Pop %),-3.19* (0.26),-3.04* (0.25),-3.09* (0.27),-1.83* (0.34),-1.63* (0.33),-1.66* (0.34),-1.48* (0.35),-1.59* (0.34), -5.06* (0.29),-5.97* (0.35),-3.15* (0.33),-3.24* (0.26)
American Indian/Alaskan Native (Pop %),18.14* (1.51),17.89* (1.45),10.70* (1.18), 7.51* (1.28), 8.69* (1.54), 8.61* (1.51),10.13* (1.63),11.97* (1.71), -1.02 (1.65), 0.38 (1.78),13.22* (1.71),17.95* (1.37)
Latin/Hispanic (Pop %),-3.83* (0.34),-3.69* (0.33),-3.72* (0.39),-2.85* (0.41),-1.45* (0.39),-1.50* (0.38),-2.07* (0.42),-1.18* (0.35), -1.52* (0.24),-2.74* (0.31),-3.51* (0.36),-4.10* (0.32)
Treated units,12,12,12,12,12,12,12,12,12,12,12,12
Total units,88,88,89,87,92,92,92,90,92,92,87,90
R-squared,0.44,0.44,0.44,0.41,0.36,0.36,0.37,0.46,0.41,0.42,0.49,0.45
