,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 0.34* (0.08), 0.32* (0.11), 0.19 (0.10), 0.64* (0.11), 0.45* (0.09), 0.81* (0.09), 0.89* (0.06), 0.62* (0.09), 1.28* (0.13), 1.17* (0.13), 0.64* (0.11), 0.63* (0.11)
One or more CFHP units*Black (Pop %), 1.38 (0.75), 0.26 (0.35),-1.56* (0.59), 4.29* (0.48),-3.84* (0.55),-0.80 (0.76),-3.10* (0.58), 0.95 (0.67),-4.44* (0.75), 1.39 (1.23), 1.33 (0.77), 0.21 (0.68)
Rental Units (in hundreds), 0.86* (0.02), 0.88* (0.02), 0.90* (0.03), 0.84* (0.03), 0.80* (0.02), 0.70* (0.02), 0.60* (0.02), 0.62* (0.03), 0.62* (0.02), 0.67* (0.03), 0.72* (0.02), 0.73* (0.03)
Per Capita Income (in $10,000 dollars), 0.23* (0.03), 0.26* (0.02), 0.27* (0.02), 0.25* (0.03), 0.37* (0.02), 0.22* (0.03), 0.21* (0.03), 0.14* (0.03), 0.13* (0.04), 0.28* (0.03), 0.14* (0.03), 0.12* (0.03)
Asian (Pop %), 2.17* (0.65),-0.89 (0.76),-0.61 (0.78), 1.20 (0.99), 3.59* (1.05), 2.56* (1.02), 4.01* (0.85), 6.29* (0.81), 6.61* (0.81), 5.24* (0.55), 1.96* (0.53), 1.54* (0.53)
White (Pop %),-3.45* (0.50),-4.18* (0.75),-3.29* (0.87),-5.33* (0.63),-1.03 (0.71),-2.28* (1.01), 1.18 (0.64), 0.31 (0.82), 0.89 (0.72),-0.79 (0.61),-1.56* (0.60),-2.35* (0.64)
Black (Pop %),-2.49* (0.36),-1.29* (0.36),-0.87* (0.40),-2.10* (0.32),-0.99* (0.28),-2.44* (0.28),-2.46* (0.28),-1.70* (0.28),-1.76* (0.32),-2.83* (0.22),-2.46* (0.30),-2.54* (0.30)
American Indian/Alaskan Native (Pop %), 6.98* (1.13), 2.78* (1.08), 4.30* (0.96), 6.08* (1.11), 0.50 (1.22),-0.15 (1.40), 4.36* (1.19), 4.18* (1.18), 2.81* (1.05),-0.33 (1.05), 4.11* (1.16), 5.29* (1.32)
Latin/Hispanic (Pop %), 2.13* (0.32), 0.76* (0.31), 1.13* (0.34), 1.71* (0.32), 2.02* (0.29), 0.77* (0.31), 2.54* (0.18), 2.17* (0.28), 1.57* (0.34), 2.26* (0.33), 2.43* (0.28), 2.18* (0.28)
Treated units,74,74,74,74,74,74,74,74,74,74,74,74
Total units,178,177,175,179,185,185,183,182,181,181,182,182
R-squared,0.44,0.39,0.4,0.41,0.38,0.34,0.34,0.32,0.35,0.39,0.39,0.4
