,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units,  0.22 (0.19), 0.59* (0.19), 1.01* (0.24), 0.77* (0.18), 1.42* (0.33), 0.58* (0.15), 0.73* (0.24), 0.69* (0.22), 0.81* (0.25), 0.68* (0.17), 0.78* (0.11), 0.79* (0.20)
One or more CFHP units*Black (Pop %),-13.51* (2.87), 1.23 (1.46),-7.39* (1.74),-5.83* (1.16),-4.18* (1.64),-4.43* (1.55), 4.37* (0.86),-5.69* (2.80), 1.99 (1.69), 1.51 (0.92), 3.86* (1.22),-1.17 (1.48)
Rental Units (in hundreds),  0.44* (0.08), 0.48* (0.09), 0.39* (0.10), 0.38* (0.10), 0.37* (0.09), 0.39* (0.11), 0.50* (0.09), 0.39* (0.11), 0.36* (0.11), 0.31* (0.10), 0.30* (0.09), 0.46* (0.09)
Per Capita Income (in $10,000 dollars),  0.02 (0.03), 0.02 (0.03), 0.05 (0.05), 0.05 (0.04),-0.01 (0.03), 0.06 (0.04), 0.19* (0.04), 0.07 (0.04), 0.06 (0.03),-0.11* (0.03),-0.12* (0.03), 0.03 (0.02)
Asian (Pop %),  0.14 (0.47), 1.43* (0.39), 0.47 (0.81), 0.79 (0.89), 0.82 (0.72), 0.72 (0.94), 0.54 (0.58), 0.82 (0.75), 1.16 (0.71), 1.43* (0.55), 0.90* (0.45),-1.11* (0.50)
White (Pop %),  2.44* (0.57), 3.37* (0.53), 3.70* (1.01), 3.28* (1.28), 2.44* (1.21), 2.25 (1.24), 2.02* (0.73), 2.95* (1.08), 2.59* (1.06), 2.48* (0.82), 1.98* (0.76),-0.28 (0.60)
Black (Pop %), -0.71 (0.46),-0.05 (0.33),-0.82 (0.69),-0.49 (0.76),-0.83 (0.71),-1.79* (0.74),-0.88 (0.52),-0.12 (0.75),-0.12 (0.75),-0.43 (0.61),-0.34 (0.47),-1.83* (0.40)
American Indian/Alaskan Native (Pop %),  0.58 (0.71), 0.89 (0.78),-0.56 (0.86),-2.06* (0.68),-1.56* (0.67),-3.02* (0.85), 0.31 (0.93), 3.36* (0.99), 2.05* (0.79), 0.35 (0.82), 0.04 (0.81),-0.77 (0.63)
Latin/Hispanic (Pop %),  0.72* (0.21), 1.38* (0.25), 0.06 (0.34),-0.04 (0.46), 0.52 (0.45),-0.39 (0.44),-0.20 (0.40), 0.36 (0.43), 1.02* (0.46), 1.25* (0.32), 1.14* (0.25), 0.27 (0.35)
Treated units,75,75,75,75,75,75,75,75,75,75,75,75
Total units,1568,1566,1567,1567,1580,1603,1597,1598,1601,1381,1573,1579
R-squared,0.2,0.22,0.19,0.17,0.17,0.18,0.23,0.19,0.18,0.15,0.16,0.2
