,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units, 0.53* (0.03), 0.57* (0.03), 0.43* (0.03), 0.16* (0.02), 0.26* (0.03), 0.34* (0.04), 0.09* (0.02), 0.10* (0.03), 0.16* (0.03), 0.19* (0.03), 0.53* (0.02), 0.53* (0.03)
Rental Units (in hundreds), 0.21* (0.01), 0.19* (0.01), 0.14* (0.01), 0.21* (0.01), 0.23* (0.02), 0.13* (0.02), 0.23* (0.01), 0.29* (0.01), 0.21* (0.01), 0.19* (0.01), 0.19* (0.01), 0.21* (0.01)
Per Capita Income (in $10,000 dollars),-0.04* (0.02),-0.01 (0.02),-0.04* (0.02), 0.00 (0.02),-0.09* (0.02),-0.23* (0.03),-0.07* (0.02),-0.17* (0.02),-0.11* (0.02),-0.11* (0.02),-0.03 (0.02),-0.04* (0.02)
Asian (Pop %), 2.74* (0.47), 2.29* (0.56), 3.33* (0.44), 0.97* (0.32), 4.11* (0.58), 3.18* (0.52), 3.68* (0.47), 8.28* (0.69), 4.90* (0.54), 4.45* (0.59), 2.84* (0.50), 2.74* (0.47)
White (Pop %), 7.97* (0.88), 7.40* (0.86), 7.30* (0.79), 4.85* (0.53), 6.90* (0.84), 6.92* (0.80), 4.94* (0.54), 9.79* (0.86), 9.02* (0.83),11.27* (0.82), 7.98* (0.78), 7.97* (0.88)
Black (Pop %), 2.76* (0.31), 2.35* (0.38), 3.27* (0.34), 2.44* (0.26), 3.33* (0.29), 2.14* (0.28), 3.25* (0.29), 6.29* (0.46), 3.97* (0.34), 2.81* (0.37), 3.01* (0.34), 2.76* (0.31)
American Indian/Alaskan Native (Pop %),13.35* (1.60),13.93* (1.54), 4.72* (0.98), 8.51* (0.95),14.85* (1.55),14.29* (1.52),15.53* (1.54),20.70* (1.74),16.74* (1.55),18.20* (1.51),13.69* (1.45),13.35* (1.60)
Latin/Hispanic (Pop %), 1.00* (0.41), 0.44 (0.50), 1.70* (0.40),-2.04* (0.29), 0.28 (0.52), 1.84* (0.54), 1.84* (0.50), 3.32* (0.67), 2.57* (0.54), 2.19* (0.55),-0.18 (0.45), 1.00* (0.41)
Treated units,32,32,32,32,32,32,32,32,32,32,32,32
Total units,103,102,106,103,106,105,106,105,105,104,102,103
R-squared,0.34,0.34,0.21,0.25,0.27,0.21,0.2,0.33,0.21,0.26,0.34,0.34
