,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units, 1.04* (0.06), 1.03* (0.06), 0.84* (0.06), 1.09* (0.06), 0.94* (0.07), 0.94* (0.07), 0.91* (0.07), 0.61* (0.06), 0.82* (0.03),  1.09* (0.04), 1.09* (0.07), 1.06* (0.06)
Rental Units (in hundreds), 0.51* (0.03), 0.51* (0.03), 0.61* (0.02), 0.49* (0.02), 0.54* (0.03), 0.54* (0.03), 0.56* (0.03), 0.73* (0.02), 0.58* (0.02),  0.56* (0.02), 0.60* (0.03), 0.51* (0.02)
Per Capita Income (in $10,000 dollars), 0.11* (0.03), 0.17* (0.03), 0.15* (0.03), 0.10* (0.03), 0.34* (0.08), 0.34* (0.08), 0.39* (0.08), 0.73* (0.08), 0.37* (0.06),  0.32* (0.06), 0.02 (0.04), 0.08* (0.03)
Asian (Pop %),-1.58* (0.35),-1.62* (0.36),-1.46* (0.41),-1.60* (0.43),-0.29 (0.52),-0.37 (0.51),-1.02 (0.55),-0.64 (0.53),-1.17* (0.38), -2.51* (0.28),-0.42 (0.44),-0.90* (0.35)
White (Pop %),-2.63* (0.41),-2.27* (0.40),-5.76* (0.41),-1.32* (0.41),-2.28* (0.35),-2.40* (0.31),-2.25* (0.33),-2.85* (0.32),-9.30* (0.44),-10.29* (0.51),-4.03* (0.39),-3.29* (0.37)
Black (Pop %),-2.31* (0.29),-2.30* (0.28),-2.93* (0.27),-1.68* (0.36),-1.46* (0.33),-1.47* (0.34),-1.27* (0.35),-1.36* (0.34),-5.64* (0.29), -6.39* (0.40),-2.58* (0.34),-2.36* (0.29)
American Indian/Alaskan Native (Pop %),16.66* (1.51),16.44* (1.43),10.50* (1.24), 8.43* (1.22), 7.62* (1.56), 7.47* (1.53), 9.24* (1.64),12.94* (1.48),-1.47 (1.51), -0.47 (1.66),13.33* (1.47),16.40* (1.37)
Latin/Hispanic (Pop %),-3.15* (0.38),-3.04* (0.37),-3.73* (0.42),-2.42* (0.45),-1.43* (0.40),-1.48* (0.38),-2.11* (0.43),-1.77* (0.36),-0.94* (0.23), -2.10* (0.28),-2.93* (0.41),-3.34* (0.36)
Treated units,12,12,12,12,12,12,12,12,12,12,12,12
Total units,88,88,89,87,92,92,92,90,92,92,87,90
R-squared,0.44,0.44,0.43,0.4,0.33,0.33,0.34,0.43,0.41,0.44,0.47,0.45
