,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units, 0.30* (0.03), 0.49* (0.04), 0.44* (0.04), 0.57* (0.04), 0.49* (0.04), 0.50* (0.04), 0.41* (0.04), 0.26* (0.05), 0.39* (0.05), 0.28* (0.07), 0.31* (0.05), 0.43* (0.04)
Rental Units (in hundreds), 0.76* (0.02), 0.68* (0.02), 0.70* (0.02), 0.64* (0.02), 0.63* (0.03), 0.57* (0.03), 0.50* (0.03), 0.59* (0.04), 0.61* (0.04), 0.69* (0.04), 0.66* (0.03), 0.62* (0.03)
Per Capita Income (in $10,000 dollars), 0.25* (0.03), 0.27* (0.02), 0.27* (0.02), 0.26* (0.03), 0.41* (0.02), 0.24* (0.03), 0.18* (0.03), 0.16* (0.03), 0.24* (0.04), 0.27* (0.03), 0.17* (0.03), 0.15* (0.03)
Asian (Pop %), 2.44* (0.68),-0.01 (0.80), 0.43 (0.87), 1.39 (0.95), 3.98* (1.04), 2.92* (0.99), 4.73* (0.90), 6.64* (0.93), 6.87* (0.96), 5.51* (0.63), 2.02* (0.52), 1.63* (0.53)
White (Pop %),-2.28* (0.55),-1.85* (0.74),-1.22 (0.84),-2.83* (0.56),-0.37 (0.64),-0.06 (0.92), 4.54* (0.81), 1.45 (1.05), 1.72 (1.03), 0.79 (0.91),-0.67 (0.66),-1.24 (0.65)
Black (Pop %),-2.78* (0.36),-1.69* (0.39),-1.33* (0.42),-2.60* (0.35),-1.49* (0.22),-2.96* (0.25),-2.31* (0.27),-1.82* (0.27),-2.22* (0.32),-2.57* (0.17),-2.62* (0.27),-3.02* (0.29)
American Indian/Alaskan Native (Pop %), 5.75* (1.12),-0.05 (1.14), 1.74 (1.03), 4.00* (1.05),-1.02 (1.23),-1.32 (1.22), 2.55* (1.24), 4.32* (1.13), 3.42* (1.16),-0.72 (1.23), 3.39* (1.25), 3.75* (1.31)
Latin/Hispanic (Pop %), 2.58* (0.32), 1.22* (0.32), 1.64* (0.36), 2.13* (0.35), 2.35* (0.28), 1.27* (0.29), 3.01* (0.23), 2.26* (0.35), 2.06* (0.44), 2.55* (0.38), 2.75* (0.29), 2.55* (0.28)
Treated units,74,74,74,74,74,74,74,74,74,74,74,74
Total units,178,177,175,179,185,185,183,182,181,181,182,182
R-squared,0.45,0.42,0.43,0.44,0.41,0.36,0.34,0.33,0.34,0.37,0.4,0.41
