,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units, 0.05 (0.05), 0.20* (0.07), 0.45* (0.07), 0.41* (0.05), 0.78* (0.14), 0.27* (0.06), 0.16* (0.07), 0.19* (0.05), 0.27* (0.05), 0.32* (0.06), 0.42* (0.06), 0.22* (0.07)
Rental Units (in hundreds), 0.44* (0.08), 0.48* (0.09), 0.39* (0.10), 0.38* (0.10), 0.38* (0.09), 0.39* (0.11), 0.51* (0.09), 0.39* (0.11), 0.36* (0.11), 0.31* (0.09), 0.30* (0.09), 0.46* (0.08)
Per Capita Income (in $10,000 dollars), 0.03 (0.03), 0.02 (0.03), 0.05 (0.05), 0.05 (0.04), 0.00 (0.03), 0.06 (0.04), 0.19* (0.04), 0.07 (0.04), 0.06 (0.03),-0.11* (0.03),-0.12* (0.03), 0.02 (0.02)
Asian (Pop %), 0.16 (0.48), 1.41* (0.38), 0.52 (0.83), 0.78 (0.89), 0.76 (0.70), 0.74 (0.93), 0.52 (0.58), 0.85 (0.77), 1.19 (0.69), 1.44* (0.53), 0.91* (0.45),-1.10* (0.50)
White (Pop %), 2.39* (0.56), 3.36* (0.53), 3.72* (1.01), 3.25* (1.27), 2.37* (1.17), 2.28 (1.23), 2.08* (0.74), 2.89* (1.05), 2.63* (1.03), 2.50* (0.80), 1.92* (0.75),-0.30 (0.58)
Black (Pop %),-0.72 (0.46),-0.09 (0.31),-0.78 (0.70),-0.50 (0.75),-0.87 (0.71),-1.79* (0.73),-0.91 (0.51),-0.13 (0.75),-0.14 (0.74),-0.44 (0.59),-0.37 (0.46),-1.84* (0.40)
American Indian/Alaskan Native (Pop %), 0.57 (0.73), 0.98 (0.80),-0.48 (0.85),-2.06* (0.68),-1.61* (0.66),-2.98* (0.83), 0.55 (0.93), 3.49* (1.02), 2.17* (0.82), 0.38 (0.84),-0.06 (0.83),-0.62 (0.66)
Latin/Hispanic (Pop %), 0.74* (0.23), 1.39* (0.26), 0.09 (0.35),-0.05 (0.46), 0.46 (0.43),-0.39 (0.45),-0.14 (0.42), 0.39 (0.45), 1.08* (0.48), 1.25* (0.34), 1.13* (0.25), 0.30 (0.37)
Treated units,75,75,75,75,75,75,75,75,75,75,75,75
Total units,1568,1566,1567,1567,1580,1603,1597,1598,1601,1381,1573,1579
R-squared,0.19,0.22,0.18,0.18,0.18,0.18,0.23,0.19,0.17,0.15,0.16,0.2
