,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units, 0.60* (0.02), 0.64* (0.03), 0.40* (0.03), 0.20* (0.02), 0.25* (0.03), 0.35* (0.04), 0.07* (0.02), 0.09* (0.03), 0.16* (0.03), 0.19* (0.03), 0.57* (0.02), 0.60* (0.02)
Number of CFHP units*Black (Pop %),-5.83* (0.27),-5.77* (0.27), 1.24* (0.41),-2.56* (0.25), 0.67 (0.41), 1.46* (0.26), 3.14* (0.22), 3.74* (0.28), 1.80* (0.25), 0.83* (0.29),-4.84* (0.20),-5.83* (0.27)
Rental Units (in hundreds), 0.18* (0.01), 0.17* (0.01), 0.14* (0.01), 0.20* (0.01), 0.23* (0.02), 0.13* (0.02), 0.25* (0.01), 0.30* (0.01), 0.21* (0.01), 0.19* (0.01), 0.16* (0.01), 0.18* (0.01)
Per Capita Income (in $10,000 dollars),-0.02 (0.02), 0.00 (0.02),-0.04* (0.02), 0.01 (0.02),-0.09* (0.02),-0.23* (0.03),-0.07* (0.02),-0.16* (0.02),-0.10* (0.02),-0.11* (0.02),-0.02 (0.01),-0.02 (0.02)
Asian (Pop %), 1.01* (0.39), 0.41 (0.48), 3.49* (0.46), 0.56 (0.32), 4.17* (0.57), 3.12* (0.53), 4.29* (0.54), 9.11* (0.77), 5.11* (0.57), 4.55* (0.61), 1.73* (0.46), 1.01* (0.39)
White (Pop %), 7.98* (0.83), 7.25* (0.83), 7.39* (0.79), 4.55* (0.54), 7.01* (0.84), 7.28* (0.87), 5.67* (0.61),10.59* (0.93), 9.51* (0.87),11.52* (0.86), 7.76* (0.73), 7.98* (0.83)
Black (Pop %), 0.78* (0.27), 0.31 (0.34), 3.39* (0.36), 2.13* (0.26), 3.38* (0.29), 2.01* (0.29), 3.80* (0.35), 6.85* (0.50), 4.18* (0.36), 2.93* (0.39), 1.60* (0.31), 0.78* (0.27)
American Indian/Alaskan Native (Pop %),12.55* (1.57),13.09* (1.50), 4.47* (0.96), 9.22* (0.96),14.80* (1.56),14.35* (1.52),15.88* (1.53),20.65* (1.74),16.88* (1.57),18.33* (1.53),12.71* (1.39),12.55* (1.57)
Latin/Hispanic (Pop %), 0.26 (0.32),-0.39 (0.40), 1.86* (0.42),-2.49* (0.28), 0.37 (0.50), 1.92* (0.55), 2.43* (0.57), 3.86* (0.74), 2.70* (0.56), 2.20* (0.56),-0.48 (0.38), 0.26 (0.32)
Treated units,32,32,32,32,32,32,32,32,32,32,32,32
Total units,103,102,106,103,106,105,106,105,105,104,102,103
R-squared,0.37,0.36,0.21,0.25,0.27,0.21,0.21,0.34,0.22,0.26,0.36,0.37
