,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units, 1.00* (0.06), 1.00* (0.06), 0.84* (0.06), 1.09* (0.06), 0.94* (0.07), 0.94* (0.06), 0.91* (0.07), 0.61* (0.06), 0.85* (0.04),  1.13* (0.04), 1.03* (0.07), 1.01* (0.06)
Number of CFHP units*Black (Pop %),-1.11* (0.15),-0.72* (0.12), 0.06 (0.10), 0.57* (0.11),-0.76* (0.13),-0.95* (0.14),-0.94* (0.14),-1.15* (0.14),-4.44* (0.18), -0.90* (0.16),-1.32* (0.16),-1.04* (0.14)
Rental Units (in hundreds), 0.52* (0.03), 0.52* (0.03), 0.61* (0.02), 0.49* (0.02), 0.54* (0.03), 0.55* (0.03), 0.57* (0.03), 0.74* (0.02), 0.57* (0.02),  0.56* (0.02), 0.61* (0.03), 0.52* (0.03)
Per Capita Income (in $10,000 dollars), 0.11* (0.03), 0.17* (0.03), 0.15* (0.03), 0.10* (0.03), 0.34* (0.08), 0.35* (0.08), 0.39* (0.08), 0.74* (0.08), 0.37* (0.06),  0.33* (0.06), 0.02 (0.04), 0.08* (0.03)
Asian (Pop %),-1.71* (0.34),-1.70* (0.35),-1.46* (0.40),-1.53* (0.43),-0.37 (0.51),-0.49 (0.50),-1.13* (0.54),-0.70 (0.52),-1.39* (0.35), -2.57* (0.28),-0.56 (0.42),-1.03* (0.33)
White (Pop %),-3.01* (0.45),-2.51* (0.43),-5.76* (0.41),-1.25* (0.41),-2.34* (0.35),-2.48* (0.31),-2.34* (0.33),-2.92* (0.32),-9.41* (0.44),-10.23* (0.51),-4.39* (0.42),-3.61* (0.40)
Black (Pop %),-2.46* (0.30),-2.38* (0.29),-2.93* (0.27),-1.69* (0.36),-1.48* (0.33),-1.50* (0.34),-1.29* (0.35),-1.39* (0.34),-5.45* (0.29), -6.36* (0.40),-2.75* (0.34),-2.50* (0.29)
American Indian/Alaskan Native (Pop %),17.10* (1.58),16.77* (1.49),10.51* (1.23), 8.58* (1.22), 7.53* (1.55), 7.35* (1.52), 9.13* (1.62),12.66* (1.47),-0.73 (1.62), -0.25 (1.70),14.15* (1.59),16.83* (1.44)
Latin/Hispanic (Pop %),-3.16* (0.38),-3.04* (0.37),-3.74* (0.42),-2.35* (0.44),-1.39* (0.40),-1.44* (0.38),-2.07* (0.43),-1.67* (0.36),-1.24* (0.23), -2.18* (0.28),-2.92* (0.41),-3.36* (0.36)
Treated units,12,12,12,12,12,12,12,12,12,12,12,12
Total units,88,88,89,87,92,92,92,90,92,92,87,90
R-squared,0.44,0.44,0.43,0.4,0.33,0.33,0.34,0.44,0.41,0.44,0.47,0.46
