,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units, 0.32* (0.03), 0.50* (0.04), 0.45* (0.04), 0.57* (0.04), 0.54* (0.04), 0.52* (0.03), 0.40* (0.04), 0.29* (0.05), 0.39* (0.05), 0.27* (0.07), 0.31* (0.06), 0.46* (0.04)
Number of CFHP units*Black (Pop %),-1.20* (0.12),-1.89* (0.15),-2.21* (0.20),-0.35 (0.18),-2.26* (0.18),-1.07* (0.23),-0.62* (0.24), 1.31* (0.16),-0.20 (0.18),-0.37 (0.34), 0.09 (0.51),-1.46* (0.18)
Rental Units (in hundreds), 0.76* (0.02), 0.67* (0.02), 0.70* (0.03), 0.64* (0.02), 0.61* (0.03), 0.56* (0.03), 0.51* (0.03), 0.58* (0.04), 0.61* (0.04), 0.69* (0.04), 0.66* (0.03), 0.62* (0.03)
Per Capita Income (in $10,000 dollars), 0.26* (0.03), 0.28* (0.03), 0.28* (0.03), 0.26* (0.03), 0.41* (0.02), 0.23* (0.03), 0.18* (0.03), 0.16* (0.03), 0.24* (0.04), 0.27* (0.03), 0.17* (0.03), 0.16* (0.03)
Asian (Pop %), 2.59* (0.67),-0.03 (0.78), 0.39 (0.84), 1.38 (0.95), 3.77* (1.06), 2.85* (1.01), 4.81* (0.89), 6.60* (0.95), 6.84* (0.97), 5.48* (0.65), 2.01* (0.59), 1.75* (0.52)
White (Pop %),-2.04* (0.54),-1.28 (0.73),-0.47 (0.85),-2.75* (0.53), 0.28 (0.60),-0.37 (0.94), 4.43* (0.82), 1.24 (1.06), 1.74 (1.02), 0.79 (0.90),-0.66 (0.61),-0.97 (0.65)
Black (Pop %),-2.69* (0.36),-1.57* (0.39),-1.16* (0.42),-2.56* (0.34),-1.60* (0.22),-3.00* (0.27),-2.27* (0.27),-1.90* (0.27),-2.22* (0.32),-2.57* (0.17),-2.63* (0.33),-2.90* (0.30)
American Indian/Alaskan Native (Pop %), 5.94* (1.10),-0.01 (1.04), 1.38 (0.95), 3.92* (1.01),-1.09 (1.13),-0.75 (1.22), 2.55* (1.23), 3.72* (1.24), 3.47* (1.18),-0.80 (1.21), 3.35* (1.09), 4.02* (1.27)
Latin/Hispanic (Pop %), 2.67* (0.33), 1.25* (0.31), 1.70* (0.35), 2.13* (0.34), 2.33* (0.28), 1.13* (0.31), 3.07* (0.22), 2.20* (0.36), 2.05* (0.44), 2.57* (0.37), 2.74* (0.31), 2.66* (0.28)
Treated units,74,74,74,74,74,74,74,74,74,74,74,74
Total units,178,177,175,179,185,185,183,182,181,181,182,182
R-squared,0.45,0.43,0.43,0.44,0.41,0.37,0.35,0.33,0.34,0.37,0.4,0.42
