,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units,  0.05 (0.05), 0.19* (0.06), 0.43* (0.06), 0.39* (0.05), 0.77* (0.14), 0.27* (0.07), 0.13 (0.08), 0.20* (0.05), 0.27* (0.04), 0.31* (0.05), 0.42* (0.07), 0.23* (0.08)
Number of CFHP units*Black (Pop %),-11.18* (1.02),-3.37* (0.89),-1.80* (0.70),-1.41* (0.46),-0.75 (1.45),-0.97 (1.29), 3.22* (0.54),-2.72 (1.92), 3.62* (0.75),-1.32 (1.76), 1.88 (1.02), 0.50 (1.73)
Rental Units (in hundreds),  0.44* (0.08), 0.48* (0.09), 0.39* (0.10), 0.38* (0.10), 0.37* (0.09), 0.39* (0.11), 0.51* (0.09), 0.39* (0.11), 0.37* (0.11), 0.31* (0.09), 0.30* (0.09), 0.46* (0.09)
Per Capita Income (in $10,000 dollars),  0.02 (0.03), 0.02 (0.03), 0.05 (0.05), 0.05 (0.04), 0.00 (0.03), 0.06 (0.04), 0.19* (0.04), 0.07 (0.04), 0.06 (0.03),-0.11* (0.03),-0.12* (0.03), 0.02 (0.02)
Asian (Pop %),  0.22 (0.48), 1.40* (0.38), 0.51 (0.82), 0.76 (0.88), 0.75 (0.69), 0.73 (0.92), 0.61 (0.59), 0.81 (0.75), 1.14 (0.70), 1.45* (0.52), 0.92* (0.45),-1.10* (0.49)
White (Pop %),  2.51* (0.56), 3.37* (0.52), 3.72* (1.01), 3.25* (1.26), 2.37* (1.17), 2.28 (1.22), 2.15* (0.75), 2.90* (1.06), 2.57* (1.06), 2.51* (0.79), 1.96* (0.76),-0.31 (0.60)
Black (Pop %), -0.63 (0.46),-0.09 (0.31),-0.81 (0.69),-0.52 (0.74),-0.88 (0.69),-1.80* (0.71),-0.83 (0.52),-0.15 (0.74),-0.16 (0.73),-0.45 (0.59),-0.35 (0.46),-1.83* (0.39)
American Indian/Alaskan Native (Pop %),  0.69 (0.72), 0.95 (0.80),-0.48 (0.85),-2.07* (0.68),-1.62* (0.66),-2.98* (0.83), 0.67 (0.97), 3.44* (1.01), 2.25* (0.83), 0.39 (0.84),-0.07 (0.83),-0.61 (0.66)
Latin/Hispanic (Pop %),  0.77* (0.22), 1.39* (0.25), 0.11 (0.36),-0.05 (0.46), 0.46 (0.44),-0.38 (0.45),-0.13 (0.42), 0.39 (0.44), 1.06* (0.49), 1.27* (0.32), 1.13* (0.25), 0.30 (0.37)
Treated units,75,75,75,75,75,75,75,75,75,75,75,75
Total units,1568,1566,1567,1567,1580,1603,1597,1598,1601,1381,1573,1579
R-squared,0.2,0.22,0.18,0.18,0.18,0.18,0.23,0.19,0.17,0.15,0.16,0.2
