"","Fremont","Hayward","Riverside","San Diego County"
"Intercept","-3.45 ( 5.44)","-10.33 (13.42)"," 0.59 (2.50)"," 1.76 (3.09)"
"One or more CFHP units"," 0.81 ( 0.49)","  2.31 ( 1.11)"," 0.22 (0.46)"," 0.61 (0.40)"
"Rental Units (in hundreds)"," 0.20* ( 0.10)","  0.74* ( 0.28)"," 0.96* (0.13)"," 0.35* (0.09)"
"Per Capita Income (in $10,000 dollars)","-0.10 ( 0.28)","  0.94 ( 1.10)"," 0.19 (0.25)","-0.52 (0.28)"
"Asian (Pop %)"," 4.37 ( 5.24)"," 11.32 (12.26)"," 0.83 (3.34)","-1.87 (4.23)"
"White (Pop %)"," 9.90 ( 6.84)"," -0.40 (11.61)","-0.64 (4.56)"," 1.93 (4.22)"
"Black (Pop %)"," 1.30 ( 4.55)","  0.58 (11.81)","-3.48 (1.99)"," 0.82 (2.96)"
"American Indian/Alaskan Native (Pop %)","19.22 (17.50)"," 13.33 (71.45)"," 4.22 (7.29)","11.39 (7.10)"
"Latin/Hispanic (Pop %)"," 3.11 ( 5.35)","  6.12 ( 9.84)"," 1.90 (1.82)","-0.25 (1.35)"
"Treated units","32","12","74","75"
"Total units","64","24","148","150"
"R-squared","0.29","0.6","0.41","0.21"
