"","Fremont","Hayward","Riverside","San Diego County"
"Intercept","-1.01 (2.81)"," 0.73 ( 3.57)"," 2.99 (2.27)"," 1.98 (1.14)"
"One or more CFHP units"," 1.56* (0.30)"," 3.36* ( 0.74)"," 1.92* (0.40)"," 1.04* (0.38)"
"Per Capita Income (in $10,000 dollars)","-0.10 (0.13)"," 0.10 ( 0.25)","-0.01 (0.21)","-0.04 (0.05)"
"Asian (Pop %)"," 2.04 (2.98)"," 0.10 ( 3.76)"," 3.02 (2.97)","-1.06 (1.18)"
"White (Pop %)"," 6.98 (3.79)"," 1.13 ( 4.05)"," 6.30 (3.70)"," 5.71* (1.44)"
"Black (Pop %)"," 0.90 (2.41)","-0.65 ( 2.75)","-3.82* (1.73)","-0.96 (1.09)"
"American Indian/Alaskan Native (Pop %)"," 6.79 (9.28)"," 8.91 (11.42)","-1.25 (6.60)"," 1.53 (2.42)"
"Latin/Hispanic (Pop %)"," 0.43 (2.90)"," 0.24 ( 2.83)"," 0.92 (1.67)"," 1.41* (0.45)"
"Treated units","32","12","74","75"
"Total units","118","100","201","1754"
"R-squared","0.27","0.2","0.23","0.06"
