,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
One or more CFHP units, 0.94* (0.09), 1.22* (0.08), 1.69* (0.07), 1.48* (0.10), 1.54* (0.08), 1.15* (0.09), 1.57* (0.10), 1.22* (0.08), 1.40* (0.11), 1.15* (0.10), 1.28* (0.15), 1.57* (0.09)
Per Capita Income (in $10,000 dollars),-0.11* (0.03),-0.12* (0.04),-0.07 (0.04),-0.07* (0.03),-0.11* (0.03),-0.08* (0.02), 0.03 (0.04),-0.04 (0.03),-0.02 (0.02),-0.19* (0.04),-0.22* (0.03),-0.12* (0.02)
Asian (Pop %), 2.30* (0.31), 3.80* (0.37), 2.07* (0.38), 2.12* (0.36), 1.86* (0.46), 1.70* (0.47), 2.68* (0.37), 2.68* (0.45), 2.66* (0.43), 3.56* (0.42), 2.51* (0.30), 1.33* (0.32)
White (Pop %), 4.84* (0.46), 6.51* (0.37), 6.14* (0.57), 5.62* (0.81), 4.51* (0.72), 4.55* (0.74), 4.96* (0.51), 5.22* (0.86), 4.69* (0.86), 4.46* (0.60), 3.59* (0.54), 2.14* (0.38)
Black (Pop %),-0.55 (0.46), 0.57* (0.27),-0.73 (0.60),-0.54 (0.60),-0.70 (0.64),-1.73* (0.67),-0.92 (0.50), 0.01 (0.70),-0.25 (0.67),-0.26 (0.46),-0.36 (0.34),-1.79* (0.32)
American Indian/Alaskan Native (Pop %), 0.95 (0.80), 2.44* (1.01),-0.06 (0.94),-1.78* (0.63),-1.04 (0.70),-2.72* (0.81), 0.86 (0.71), 4.48* (0.89), 3.31* (0.74), 0.75 (0.71), 0.19 (0.79),-0.99 (0.70)
Latin/Hispanic (Pop %), 1.96* (0.25), 2.95* (0.29), 0.76* (0.32), 0.68* (0.31), 0.82* (0.22), 0.14 (0.36), 0.94* (0.31), 1.16* (0.32), 2.03* (0.29), 2.23* (0.20), 2.01* (0.21), 1.76* (0.20)
Treated units,75,75,75,75,75,75,75,75,75,75,75,75
Total units,1568,1566,1567,1567,1580,1603,1597,1598,1601,1381,1573,1579
R-squared,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.03
