,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units, 0.78* (0.03), 0.80* (0.03), 0.62* (0.02), 0.44* (0.02), 0.56* (0.02), 0.48* (0.03), 0.37* (0.02), 0.41* (0.03), 0.41* (0.03), 0.41* (0.03), 0.75* (0.02), 0.78* (0.03)
Per Capita Income (in $10,000 dollars),-0.06* (0.02),-0.02 (0.02),-0.08* (0.01),-0.10* (0.01),-0.10* (0.02),-0.25* (0.03),-0.16* (0.02),-0.20* (0.02),-0.10* (0.02),-0.12* (0.02),-0.04* (0.02),-0.06* (0.02)
Asian (Pop %),-1.25* (0.40),-1.58* (0.47), 1.10* (0.45),-1.92* (0.33), 0.02 (0.37), 1.56* (0.38), 0.47 (0.36), 3.01* (0.61), 0.84 (0.47), 0.61 (0.49),-0.86* (0.43),-1.25* (0.40)
White (Pop %), 6.48* (0.81), 6.41* (0.77), 6.46* (0.73), 3.97* (0.45), 5.54* (0.73), 6.37* (0.74), 2.98* (0.47), 9.14* (0.81), 7.70* (0.74),10.20* (0.73), 6.68* (0.69), 6.48* (0.81)
Black (Pop %),-0.86* (0.31),-1.01* (0.34), 1.18* (0.38),-0.43 (0.26),-0.24 (0.16), 0.63* (0.19), 0.09 (0.18), 1.13* (0.42), 0.13 (0.30),-1.06* (0.32),-0.33 (0.30),-0.86* (0.31)
American Indian/Alaskan Native (Pop %), 9.19* (1.41),10.16* (1.36),-0.16 (0.80), 0.89 (0.79),10.61* (1.64),11.37* (1.39), 4.88* (1.33),15.96* (1.70),13.37* (1.37),15.02* (1.39),10.18* (1.23), 9.19* (1.41)
Latin/Hispanic (Pop %),-2.26* (0.31),-2.76* (0.38),-0.50 (0.35),-5.23* (0.31),-3.36* (0.36), 0.17 (0.39),-1.64* (0.37),-1.16* (0.56),-0.56 (0.45),-0.83 (0.44),-3.23* (0.36),-2.26* (0.31)
Treated units,32,32,32,32,32,32,32,32,32,32,32,32
Total units,103,102,106,103,106,105,106,105,105,104,102,103
R-squared,0.28,0.28,0.18,0.16,0.17,0.19,0.1,0.2,0.14,0.2,0.28,0.28
