,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units, 1.85* (0.02), 1.84* (0.02), 1.73* (0.04), 1.74* (0.04), 1.61* (0.03), 1.62* (0.03), 1.61* (0.03), 1.72* (0.04), 1.76* (0.02), 2.13* (0.03), 2.01* (0.03), 1.87* (0.02)
Per Capita Income (in $10,000 dollars),-0.23* (0.02),-0.14* (0.02),-0.28* (0.03),-0.05 (0.03), 0.19* (0.07), 0.19* (0.07), 0.27* (0.07), 0.43* (0.08), 0.11 (0.06), 0.08 (0.05),-0.19* (0.03),-0.22* (0.02)
Asian (Pop %), 1.07* (0.21), 0.84* (0.25), 0.42 (0.29),-0.11 (0.34), 1.60* (0.48), 1.56* (0.50), 0.58 (0.47), 0.53 (0.34), 1.97* (0.51), 0.22 (0.28),-0.16 (0.31), 1.86* (0.23)
White (Pop %), 1.11* (0.33), 1.36* (0.33),-3.77* (0.48), 1.48* (0.37), 0.26 (0.36), 0.20 (0.33), 0.72* (0.34), 0.69* (0.27),-5.30* (0.45),-7.10* (0.45),-0.82* (0.36), 0.23 (0.29)
Black (Pop %),-1.83* (0.39),-2.24* (0.41),-4.28* (0.34),-1.82* (0.47),-2.41* (0.43),-2.43* (0.44),-2.17* (0.42),-2.39* (0.44),-5.47* (0.42),-5.96* (0.54),-3.25* (0.53),-1.82* (0.38)
American Indian/Alaskan Native (Pop %), 6.92* (1.68), 5.71* (1.49),-0.29 (1.64), 3.17 (1.65),-1.67 (2.04),-1.84 (2.01),-0.23 (2.16), 7.97* (2.31),-8.78* (1.91),-6.80* (2.13), 0.44 (1.66), 6.17* (1.55)
Latin/Hispanic (Pop %),-0.45 (0.28),-0.39 (0.27),-1.05* (0.36),-0.54 (0.42), 1.42* (0.41), 1.41* (0.43), 0.65 (0.45), 0.43 (0.35), 2.18* (0.35), 0.84* (0.25),-0.22 (0.35),-0.31 (0.26)
Treated units,12,12,12,12,12,12,12,12,12,12,12,12
Total units,88,88,89,87,92,92,92,90,92,92,87,90
R-squared,0.33,0.34,0.27,0.28,0.21,0.21,0.21,0.23,0.26,0.31,0.34,0.33
