,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°
Number of CFHP units, 0.40* (0.07), 0.52* (0.11), 0.78* (0.06), 0.75* (0.07), 0.70* (0.07), 0.57* (0.13), 0.58* (0.06), 0.45* (0.06), 0.54* (0.07), 0.54* (0.10), 0.67* (0.10), 0.62* (0.11)
Per Capita Income (in $10,000 dollars),-0.11* (0.03),-0.12* (0.04),-0.06 (0.04),-0.06 (0.03),-0.11* (0.02),-0.08* (0.02), 0.03 (0.04),-0.04 (0.03),-0.03 (0.02),-0.19* (0.04),-0.22* (0.03),-0.12* (0.02)
Asian (Pop %), 2.28* (0.31), 3.75* (0.39), 2.07* (0.38), 2.06* (0.35), 1.81* (0.46), 1.72* (0.47), 2.70* (0.37), 2.70* (0.45), 2.68* (0.42), 3.56* (0.43), 2.53* (0.29), 1.30* (0.33)
White (Pop %), 4.82* (0.46), 6.46* (0.37), 6.12* (0.57), 5.54* (0.79), 4.47* (0.71), 4.54* (0.73), 5.07* (0.50), 5.23* (0.85), 4.69* (0.86), 4.46* (0.58), 3.57* (0.54), 2.11* (0.37)
Black (Pop %),-0.58 (0.44), 0.49 (0.27),-0.77 (0.59),-0.60 (0.58),-0.75 (0.63),-1.74* (0.64),-0.92 (0.47),-0.03 (0.68),-0.29 (0.66),-0.28 (0.43),-0.38 (0.34),-1.85* (0.31)
American Indian/Alaskan Native (Pop %), 1.01 (0.83), 2.57* (1.02), 0.03 (0.95),-1.82* (0.61),-1.01 (0.71),-2.69* (0.80), 1.10 (0.73), 4.60* (0.89), 3.48* (0.73), 0.79 (0.73), 0.08 (0.80),-0.89 (0.75)
Latin/Hispanic (Pop %), 1.95* (0.23), 2.94* (0.28), 0.82* (0.30), 0.65* (0.31), 0.82* (0.22), 0.16 (0.36), 0.98* (0.31), 1.22* (0.32), 2.10* (0.29), 2.22* (0.19), 2.01* (0.20), 1.77* (0.20)
Treated units,75,75,75,75,75,75,75,75,75,75,75,75
Total units,1568,1566,1567,1567,1580,1603,1597,1598,1601,1381,1573,1579
R-squared,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.03
